славянск,россия	Slavyansk-na-Kubani
даккы,россия	Dakky
усвяты,россия	Usvyaty,_Usvyatsky_District,_Pskov_Oblast
бердяш,россия	Berdyash,_Zilairsky_District,_Republic_of_Bashkortostan
новосибирск,россия	Novosibirsk
абаг,россия	Abaga,_Olyokminsky_District,_Sakha_Republic
далматово,россия	Dalmatovo
острогожский район,россия	Ostrogozhsky_District
сутуруох,россия	Suturuokha
лысьва,россия	Lysva
волосово,россия	Volosovo,_Volosovsky_District,_Leningrad_Oblast
александро-невский район,россия	Alexandro-Nevsky_District
октябрьск,россия	Oktyabrsk
мариинск,россия	Mariinsk
салаир,россия	Salair_(town)
кадуй,россия	Kaduy,_Vologda_Oblast
туобуй,россия	Tuobuya
большесолдатский район,россия	Bolshesoldatsky_District
ура-губа,россия	Ura-Guba
маклок,россия	Maklok,_Voronezh_Oblast
туринский район,россия	Turinsky_District
карталы,россия	Kartaly
канаш,россия	Kanash
горно-алтайск,россия	Gorno-Altaysk
брянский район,россия	Bryansky_District
тик-губа,россия	Tik-Guba
серафимович,россия	Serafimovich_(town)
холм,россия	Kholm,_Kholmsky_District,_Novgorod_Oblast
элясина,россия	Elyasin
брасовский район,россия	Brasovsky_District
талдом,россия	Taldom
колпашево,россия	Kolpashevo
зубцовский район,россия	Zubtsovsky_District
кольский район,россия	Kolsky_District
называевский район,россия	Nazyvayevsky_District
правдинск,россия	Pravdinsk
унеча,россия	Unecha
нюрба,россия	Nyurba
тындинский район,россия	Tyndinsky_District
петровский район,россия	Petrovsky_District,_Tambov_Oblast
киквидзенский район,россия	Kikvidzensky_District
добровский район,россия	Dobrovsky_District
артемовский район,россия	Artyomovsky_District
нефтекумск,россия	Neftekumsk
8,россия	8-y_km
тойбоха,россия	Toybokhoy
новоульяновск,россия	Novoulyanovsk
лесозаводск,россия	Lesozavodsk
икрянинский район,россия	Ikryaninsky_District
арсеньев,россия	Arsenyev
эбель,россия	Ebelyakh
куйбышевский район,россия	Kuybyshevsky_District,_Rostov_Oblast
заиграево,россия	Zaigrayevo
уродан,россия	Urodan
пятигорск,россия	Pyatigorsk
кайрал,россия	Kayraly
чумп-кытыл,россия	Chumpu-Kytyl
покров,россия	Pokrov,_Vladimir_Oblast
сергиевский район,россия	Sergiyevsky_District
урай,россия	Uray
сибай,россия	Sibay
тотьма,россия	Totma
славск,россия	Slavsk
каширский район,россия	Kashirsky_District,_Voronezh_Oblast
тацинский район,россия	Tatsinsky_District
толон,россия	Tolon,_Tolonsky_Rural_Okrug,_Suntarsky_District,_Sakha_Republic
будогощь,россия	Budogoshch
кобяй,россия	Kobyay
клетский район,россия	Kletsky_District
тополиный,россия	Topolinoye
ачитский район,россия	Achitsky_District
белиджи,россия	Belidzhi
дубенский район,россия	Dubensky_District,_Tula_Oblast
никель,россия	Nikel
злынковский район,россия	Zlynkovsky_District
ивдель,россия	Ivdel
имя морозов,россия	Imeni_Morozova
оха,россия	Okha,_Russia
петрозаводск,россия	Petrozavodsk
хамп,россия	Khampa,_Russia
бугуруслан,россия	Buguruslan
лиинахамари,россия	Liinakhamari
великий луки,россия	Velikiye_Luki
вятскополянский район,россия	Vyatskopolyansky_District
щербинка,россия	Shcherbinka
льговский район,россия	Lgovsky_District
усть-ишимский район,россия	Ust-Ishimsky_District
гололобовый,россия	Gololobovo,_Zaraysky_District,_Moscow_Oblast
павлово-посадский район,россия	Pavlovo-Posadsky_District
найба,россия	Nayba
хабаровский край,россия	Khabarovsk_Krai
нязепетровск,россия	Nyazepetrovsk
саскылах,россия	Saskylakh
туойд,россия	Tuoydakh
нижнеилимский район,россия	Nizhneilimsky_District
певек,россия	Pevek
алдан,россия	Aldan,_Russia
неболчать,россия	Nebolchi
качугский район,россия	Kachugsky_District
апонитища,россия	Aponitishchi
лобуй,россия	Lobuya
верх-нейвинский,россия	Verkh-Neyvinsky
шатурский район,россия	Shatursky_District
изоплит,россия	Izoplit
новоржевский район,россия	Novorzhevsky_District
манский район,россия	Mansky_District
тайга,россия	Tayga
юнер-олох,россия	Yuner-Olokh
верхоянский улус,россия	Verkhoyansky_District
лысково,россия	Lyskovo,_Nizhny_Novgorod_Oblast
тумул,россия	Tumul,_Ust-Maysky_District,_Sakha_Republic
соловецкий район,россия	Solovetsky_District
петухово,россия	Petukhovo_(town),_Kurgan_Oblast
хаптагай,россия	Khaptagay
челно-вершинский район,россия	Chelno-Vershinsky_District
мещовский район,россия	Meshchovsky_District
саратов,россия	Saratov
красноселькупский район,россия	Krasnoselkupsky_District
ныроб,россия	Nyrob
барсовый,россия	Barsovo,_Khanty-Mansi_Autonomous_Okrug
кваркенский район,россия	Kvarkensky_District
сокольский район,россия	Sokolsky_District,_Nizhny_Novgorod_Oblast
ынахсытый,россия	Ynakhsyt
муезерский,россия	Muyezersky_(urban-type_settlement)
тейковский район,россия	Teykovsky_District
саракташский район,россия	Saraktashsky_District
арзамасский район,россия	Arzamassky_District
мурмаш,россия	Murmashi
павловка,россия	Pavlovka,_Pavlovsky_District,_Ulyanovsk_Oblast
вейделевский район,россия	Veydelevsky_District
сольвычегодск,россия	Solvychegodsk
мезень,россия	Mezen,_Mezensky_District,_Arkhangelsk_Oblast
большой нимныр,россия	Bolshoy_Nimnyr
новоспасский район,россия	Novospassky_District
всеволожск,россия	Vsevolozhsk
терек,россия	Terek,_Kabardino-Balkar_Republic
зерноград,россия	Zernograd
дыгдать,россия	Dygdal
зарубиный,россия	Zarubino,_Primorsky_Krai
новый,россия	Novy,_Tomponsky_District,_Sakha_Republic
чульман,россия	Chulman
хохлово,россия	Khokhlovo,_Kaduysky_District,_Vologda_Oblast
шамилькать,россия	Shamilkala
кашинский район,россия	Kashinsky_District
реутов,россия	Reutov
кытынуть-дюр,россия	Kytyl-Dyura
республика северный осетия — алания,россия	North_Ossetia-Alania
славский район,россия	Slavsky_District
никольск,россия	Nikolsk,_Vologda_Oblast
илекский район,россия	Ileksky_District
тектюр,россия	Tyokhtyur,_Megino-Kangalassky_District,_Sakha_Republic
Тенкя,россия	Tenkya
абаг центральный,россия	Abaga_tsentralnaya
красногорский,россия	Krasnogorsky,_Mari_El_Republic
хадыженск,россия	Khadyzhensk
мохсоголлох,россия	Mokhsogollokh
дорогобужский район,россия	Dorogobuzhsky_District
красноярск,россия	Krasnoyarsk
камызякский район,россия	Kamyzyaksky_District
ольховатский район,россия	Olkhovatsky_District
урюпинский район,россия	Uryupinsky_District
мяунджа,россия	Myaundzha
верхотурский район,россия	Verkhotursky_District
ара-толон,россия	Ary-Tolon
нефтегорский район,россия	Neftegorsky_District
углегорск,россия	Uglegorsk,_Sakhalin_Oblast
мордовский район,россия	Mordovsky_District
мценск,россия	Mtsensk
эбя,россия	Ebya,_Vilyuysky_District,_Sakha_Republic
плавский район,россия	Plavsky_District
волгоград,россия	Volgograd
нижнеомский район,россия	Nizhneomsky_District
мотыгинский район,россия	Motyginsky_District
лосино-петровский,россия	Losino-Petrovsky
чымнайя,россия	Chymnayi
приволжский,россия	Privolzhsky,_Mari_El_Republic
бежаницы,россия	Bezhanitsy
усть-май,россия	Ust-Maya
тавдинский район,россия	Tavdinsky_District
ровенский район,россия	Rovensky_District,_Saratov_Oblast
катав-ивановский район,россия	Katav-Ivanovsky_District
стерлитамак,россия	Sterlitamak
озинский район,россия	Ozinsky_District
павлоградский район,россия	Pavlogradsky_District
ягоднинский район,россия	Yagodninsky_District
ытык-кюель,россия	Ytyk-Kyuyol
лаврентий,россия	Lavrentiya
зеленоградск,россия	Zelenogradsk
кяхта,россия	Kyakhta
лузский район,россия	Luzsky_District
илимнир,россия	Ilimnir
терновский район,россия	Ternovsky_District
безымянный,россия	Bezymyanny,_Sakha_Republic
воскресенск,россия	Voskresensk,_Moscow_Oblast
коммунар,россия	Kommunar,_Gatchinsky_District,_Leningrad_Oblast
котельничский район,россия	Kotelnichsky_District
волжский район,россия	Volzhsky_District,_Samara_Oblast
рыльский район,россия	Rylsky_District
суон-тит,россия	Suon-Tit
уржумский район,россия	Urzhumsky_District
ефремов,россия	Yefremov_(town)
лукояновский район,россия	Lukoyanovsky_District
староуткинск,россия	Staroutkinsk
уолбут,россия	Uolbut
бельский район,россия	Belsky_District,_Tver_Oblast
новопавловск,россия	Novopavlovsk
газимурский завод,россия	Gazimursky_Zavod
богдановичский район,россия	Bogdanovichsky_District
учалы,россия	Uchaly_(town)
правдинский район,россия	Pravdinsky_District
княгинино,россия	Knyaginino,_Nizhny_Novgorod_Oblast
пикалево,россия	Pikalyovo,_Leningrad_Oblast
каменск,россия	Kamensk,_Republic_of_Buryatia
калач-на-дон,россия	Kalach-na-Donu
мучкапский район,россия	Muchkapsky_District
коченевский район,россия	Kochenyovsky_District
спутник,россия	Sputnik,_Murmansk_Oblast
анадырь,россия	Anadyr_(town)
район сокольники,россия	Sokolniki_District
слюдянка,россия	Slyudyanka,_Slyudyansky_District,_Irkutsk_Oblast
красноярский район,россия	Krasnoyarsky_District,_Samara_Oblast
новоалександровск,россия	Novoalexandrovsk
нечаевка,россия	Nechayevka,_Voronezh_Oblast
краснинский район,россия	Krasninsky_District,_Smolensk_Oblast
алапаевск,россия	Alapayevsk
восточный кильдин,россия	Vostochny_Kildin
дмитриевский район,россия	Dmitriyevsky_District
вельский район,россия	Velsky_District
ворсма,россия	Vorsma
малмыжский район,россия	Malmyzhsky_District
ыллым,россия	Yllymakh
владимир,россия	Vladimir
старобаширово,россия	Starobashirovo
корсаковский район,россия	Korsakovsky_District,_Oryol_Oblast
ягодный,россия	Yagodnoye,_Magadan_Oblast
крест-хальджай,россия	Krest-Khaldzhay
бердигестях,россия	Berdigestyakh
чаунский район,россия	Chaunsky_District
электроугли,россия	Elektrougli
велижский район,россия	Velizhsky_District
ипатово,россия	Ipatovo,_Stavropol_Krai
сернур,россия	Sernur
каргополь,россия	Kargopol
башмаковский район,россия	Bashmakovsky_District
серов,россия	Serov_(town)
шатура,россия	Shatura
намцы,россия	Namtsy
корф,россия	Korf,_Russia
шарья,россия	Sharya
мындаба,россия	Myndaba
ульяновка,россия	Ulyanovka,_Leningrad_Oblast
полигус,россия	Poligus
эмисс,россия	Emissy
кичменгский городок,россия	Kichmengsky_Gorodok
дмитровск,россия	Dmitrovsk
шабалинский район,россия	Shabalinsky_District
уваровский район,россия	Uvarovsky_District
тарногский городок,россия	Tarnogsky_Gorodok
маяк тювагубский,россия	Mayak_Tyuvagubsky
коркинский район,россия	Korkinsky_District
весьегонский район,россия	Vesyegonsky_District
тюбяй,россия	Tyubyay
чолбон,россия	Cholbon
савинский,россия	Savinsky,_Arkhangelsk_Oblast
ржаксинский район,россия	Rzhaksinsky_District
электросталь,россия	Elektrostal
верхний дуброво,россия	Verkhneye_Dubrovo,_Sverdlovsk_Oblast
абакан,россия	Abakan
долинск,россия	Dolinsk,_Sakhalin_Oblast
шелеховский район,россия	Shelekhovsky_District
анадырский район,россия	Anadyrsky_District
верхошижемский район,россия	Verkhoshizhemsky_District
фатеж,россия	Fatezh
пошехонье,россия	Poshekhonye
белокуриха,россия	Belokurikha
кыштовский район,россия	Kyshtovsky_District
тимский район,россия	Timsky_District
курган,россия	Kurgan,_Kurgan_Oblast
ефремовый,россия	Yefremovo,_Sakha_Republic
юкагир,россия	Yukagir
качикатец,россия	Kachikattsy
светлогорск,россия	Svetlogorsk,_Kaliningrad_Oblast
новомичуринск,россия	Novomichurinsk
арамиль,россия	Aramil
бютяй-юрдь,россия	Byutyay-Yurdya
североморск,россия	Severomorsk
опочецкий район,россия	Opochetsky_District
фировский район,россия	Firovsky_District
беркакит,россия	Berkakit
вохомский район,россия	Vokhomsky_District
бежецкий район,россия	Bezhetsky_District
краснояружский район,россия	Krasnoyaruzhsky_District
становлянский район,россия	Stanovlyansky_District
алтухово,россия	Altukhovo,_Karinskoye_Rural_Settlement,_Zaraysky_District,_Moscow_Oblast
урус-мартан,россия	Urus-Martan
демидовский район,россия	Demidovsky_District
ставрополь,россия	Stavropol
балахна,россия	Balakhna
избербаш,россия	Izberbash
яранск,россия	Yaransk
шаблыкинский район,россия	Shablykinsky_District
новый ладога,россия	Novaya_Ladoga
очер,россия	Ochyor
гатчинский район,россия	Gatchinsky_District
пушкинский гора,россия	Pushkinskiye_Gory
купино,россия	Kupino,_Novosibirsk_Oblast
геленджик,россия	Gelendzhik
кяччи,россия	Kyachchi
нижний салда,россия	Nizhnyaya_Salda
кировский район,россия	Kirovsky_District,_Leningrad_Oblast
росляково,россия	Roslyakovo,_Murmansk_Oblast
сангар,россия	Sangar,_Sakha_Republic
торжок,россия	Torzhok
приозерск,россия	Priozersk
новомосковск,россия	Novomoskovsk,_Russia
братский район,россия	Bratsky_District
мошенской,россия	Moshenskoye,_Novgorod_Oblast
чегем,россия	Chegem
сакмарский район,россия	Sakmarsky_District
ленинск,россия	Leninsk,_Volgograd_Oblast
нижний тойма,россия	Nizhnyaya_Toyma_(rural_locality)
крестец,россия	Kresttsy,_Krestetsky_District,_Novgorod_Oblast
котовск,россия	Kotovsk,_Russia
кемь,россия	Kem,_Russia
костромской район,россия	Kostromskoy_District
селижаровский район,россия	Selizharovsky_District
мач,россия	Machakh
лахдепохья,россия	Lakhdenpokhya
кюбем,россия	Kyubeme
нытва,россия	Nytva
хара-алдан,россия	Khara-Aldan
воргашор,россия	Vorgashor
семендер,россия	Semender
красноборск,россия	Krasnoborsk,_Arkhangelsk_Oblast
ветлужский район,россия	Vetluzhsky_District
маяк никодимский,россия	Mayak_Nikodimsky
невельск,россия	Nevelsk
воронцовый,россия	Vorontsovo,_Sakha_Republic
климовск,россия	Klimovsk
угличский район,россия	Uglichsky_District
волосовский район,россия	Volosovsky_District
ярковский район,россия	Yarkovsky_District
казанский район,россия	Kazansky_District
сретенск,россия	Sretensk
луостарь,россия	Luostari_(railway_station)
анабарский улус,россия	Anabarsky_District
нарьян-мар,россия	Naryan-Mar
алагир,россия	Alagir
омутнинск,россия	Omutninsk
рассказово,россия	Rasskazovo
лувеньга,россия	Luvenga
альметьевск,россия	Almetyevsk
котельник,россия	Kotelniki
нуочаха,россия	Nuochakha
юрьевецкий район,россия	Yuryevetsky_District
кантемировский район,россия	Kantemirovsky_District
гусиноозерск,россия	Gusinoozyorsk
лейпи,россия	Leypi
алтанец,россия	Altantsy
тогучинский район,россия	Toguchinsky_District
навашинский район,россия	Navashinsky_District
екюндю,россия	Yekyundyu
корабельный,россия	Korabelnoye
ясный,россия	Yasny,_Orenburg_Oblast
липецкий район,россия	Lipetsky_District
каменский  район,россия	Kamensky_District,_Rostov_Oblast
тегюлить,россия	Tegyulte
лукоянов,россия	Lukoyanov
тихорецк,россия	Tikhoretsk
спасск,россия	Spassk,_Penza_Oblast
калязин,россия	Kalyazin
улаганский район,россия	Ulagansky_District
кочковский район,россия	Kochkovsky_District
комсомол,россия	Komsomol,_Russia
шимск,россия	Shimsk
цивильск,россия	Tsivilsk
хонуу,россия	Khonuu
нюя,россия	Nyuya
красный холм,россия	Krasny_Kholm,_Krasnokholmsky_District,_Tver_Oblast
богатовский район,россия	Bogatovsky_District
краснокутский район,россия	Krasnokutsky_District
зеленокумск,россия	Zelenokumsk
багратионовск,россия	Bagrationovsk
золотинка,россия	Zolotinka
приморский край,россия	Primorsky_Krai
калашниково,россия	Kalashnikovo,_Tver_Oblast
камышинский район,россия	Kamyshinsky_District
исит,россия	Isit,_Russia
любинский район,россия	Lyubinsky_District
гимра,россия	Gimry
сызранский район,россия	Syzransky_District
голицыно,россия	Golitsyno,_Moscow_Oblast
курчатовский район,россия	Kurchatovsky_District,_Kursk_Oblast
светогорск,россия	Svetogorsk
андрюшкино,россия	Andryushkino
соловецкий,россия	Solovetsky,_Arkhangelsk_Oblast
енотаевский район,россия	Yenotayevsky_District
дзержинск,россия	Dzerzhinsk,_Russia
краснодар,россия	Krasnodar
большой хатый,россия	Bolshoy_Khatymi
камешкирский район,россия	Kameshkirsky_District
сюль,россия	Syulya
элиста,россия	Elista
кежемский район,россия	Kezhemsky_District
короча,россия	Korocha
сунский район,россия	Sunsky_District
сальский район,россия	Salsky_District
чебулинский район,россия	Chebulinsky_District
шацк,россия	Shatsk,_Russia
шигонский район,россия	Shigonsky_District
ржевский район,россия	Rzhevsky_District
белевский район,россия	Belyovsky_District
камызяк,россия	Kamyzyak
иланский район,россия	Ilansky_District
амбарчик,россия	Ambarchik
городецкий район,россия	Gorodetsky_District
когалым,россия	Kogalym
килпъявр,россия	Kilpyavr_(rural_locality)
новый сулак,россия	Novy_Sulak
богородицк,россия	Bogoroditsk
щигры,россия	Shchigry,_Kursk_Oblast
азовский район,россия	Azovsky_District
ленск,россия	Lensk
усть-нера,россия	Ust-Nera
северо-курильск,россия	Severo-Kurilsk
новый уоян,россия	Novy_Uoyan
шенкурский район,россия	Shenkursky_District
умет,россия	Umyot,_Republic_of_Mordovia
заинск,россия	Zainsk
кысыл-юрюйя,россия	Kysyl-Yuryuyya
малыкать,россия	Malykay
лесогорский,россия	Lesogorsky
екатеринбург,россия	Yekaterinburg
крымск,россия	Krymsk
малышева,россия	Malysheva,_Sverdlovsk_Oblast
кологрив,россия	Kologriv
дельгей,россия	Delgey
хвалынск,россия	Khvalynsk
любытино,россия	Lyubytino
кстовский район,россия	Kstovsky_District
район бирюлево восточный,россия	Biryulyovo_Vostochnoye_District
жиганский улус,россия	Zhigansky_District
курлово,россия	Kurlovo_(town),_Vladimir_Oblast
северо-эвенский район,россия	Severo-Evensky_District
опаринский район,россия	Oparinsky_District
хабаровск,россия	Khabarovsk
голубой ручей,россия	Golubye_Ruchyi
трехгорный,россия	Tryokhgorny
имя свердлов,россия	Imeni_Sverdlova,_Russia
каменское,россия	Kamenskoye,_Kamchatka_Krai
калужский область,россия	Kaluga_Oblast
понежукать,россия	Ponezhukay
хапчагай,россия	Khapchagay
пителинский район,россия	Pitelinsky_District
николаевск,россия	Nikolayevsk
перевоз,россия	Perevoz,_Nizhny_Novgorod_Oblast
багадить,россия	Bagadya,_Verkhnevilyuysky_District,_Sakha_Republic
кинель,россия	Kinel
почеп,россия	Pochep,_Bryansk_Oblast
шаль,россия	Shali,_Chechen_Republic
нижний новгород,россия	Nizhny_Novgorod
новолялинский район,россия	Novolyalinsky_District
павловский посад,россия	Pavlovsky_Posad
обливский район,россия	Oblivsky_District
нефтегорск,россия	Neftegorsk,_Samara_Oblast
соболох,россия	Sobolokh
хатырык-хомо,россия	Khatyryk-Khomo
русский устье,россия	Russkoye_Ustye
черепаново,россия	Cherepanovo,_Novosibirsk_Oblast
родионово-несветайский район,россия	Rodionovo-Nesvetaysky_District
переволоцкий район,россия	Perevolotsky_District
княгининский район,россия	Knyagininsky_District
сандово,россия	Sandovo
медвежьегорск,россия	Medvezhyegorsk
семенов,россия	Semyonov,_Nizhny_Novgorod_Oblast
усть-донецкий район,россия	Ust-Donetsky_District
новомалыклинский район,россия	Novomalyklinsky_District
ивнянский район,россия	Ivnyansky_District
ивановский район,россия	Ivanovsky_District,_Ivanovo_Oblast
шипицыно,россия	Shipitsyno
бердюжский район,россия	Berdyuzhsky_District
ахт,россия	Akhty
куран-сало,россия	Kuranakh-Sala
карабулак,россия	Karabulak,_Republic_of_Ingushetia
новый карачай,россия	Novy_Karachay
верховажье,россия	Verkhovazhye
пермский край,россия	Perm_Krai
раменский район,россия	Ramensky_District
кемеровский область,россия	Kemerovo_Oblast
верхнекетский район,россия	Verkhneketsky_District
сарданг,россия	Sardanga
чара,россия	Chara_(rural_locality)
бясь-шея,россия	Byas-Sheya
каргатский район,россия	Kargatsky_District
холмск,россия	Kholmsk
димитровград,россия	Dimitrovgrad,_Russia
демидов,россия	Demidov,_Smolensk_Oblast
фурмановский район,россия	Furmanovsky_District
дмитров,россия	Dmitrov
Кылайы,россия	Kylayy
сердобский район,россия	Serdobsky_District
красновишерск,россия	Krasnovishersk
навлинский район,россия	Navlinsky_District
орел,россия	Oryol
щекино,россия	Shchyokino_(town),_Tula_Oblast
кысыл-сыр,россия	Kysyl-Syr,_Vilyuysky_District,_Sakha_Republic
карагай,россия	Karagay,_Perm_Krai
юрьевец,россия	Yuryevets,_Ivanovo_Oblast
27,россия	27_km_Zheleznoy_Dorogi_Monchegorsk–Olenya
кириллов,россия	Kirillov_(town)
костерево,россия	Kosteryovo
кинешма,россия	Kineshma
тоцкий район,россия	Totsky_District
идринский район,россия	Idrinsky_District
петропавловск-камчатский,россия	Petropavlovsk-Kamchatsky
партизанск,россия	Partizansk
тятербаш,россия	Tyaterbash
кубинка,россия	Kubinka
сеят,россия	Seyat
злынка,россия	Zlynka
грязинский район,россия	Gryazinsky_District
биробиджан,россия	Birobidzhan
район капотня,россия	Kapotnya_District
богучар,россия	Boguchar
лангепас,россия	Langepas
покровский район,россия	Pokrovsky_District
булун,россия	Bulun,_Tattinsky_District,_Sakha_Republic
ногинск,россия	Noginsk
норск,россия	Norsk_(rural_locality)
дюллюкю,россия	Dyullyukyu
аэропорт,россия	Aeroport,_Tomponsky_District,_Sakha_Republic
белокалитвинский район,россия	Belokalitvinsky_District
арангаста,россия	Arangastakh
покровка,россия	Pokrovka,_Sakha_Republic
касимов,россия	Kasimov
ярцево,россия	Yartsevo,_Smolensk_Oblast
ымыяхта,россия	Ymyyakhtakh
троицк,россия	Troitsk,_Ust-Maysky_District,_Sakha_Republic
зареченск,россия	Zarechensk
эльбрусский,россия	Elbrussky_(urban-type_settlement)
зырянский район,россия	Zyryansky_District
нижнеколымск,россия	Nizhnekolymsk
иваново,россия	Ivanovo
ессентуки,россия	Yessentuki
нижний куран,россия	Nizhny_Kuranakh
оршанка,россия	Orshanka,_Orshansky_District,_Mari_El_Republic
мегино-алдан,россия	Megino-Aldan
краснотурьинск,россия	Krasnoturyinsk
нязепетровский район,россия	Nyazepetrovsky_District
кораблино,россия	Korablino,_Korablinsky_District,_Ryazan_Oblast
борзя,россия	Borzya
пушкиногорский район,россия	Pushkinogorsky_District
ленинградский область,россия	Leningrad_Oblast
она,россия	Neya_(town)
козульский район,россия	Kozulsky_District
звенигово,россия	Zvenigovo
вяземский район,россия	Vyazemsky_District,_Smolensk_Oblast
усолье,россия	Usolye,_Usolsky_District,_Perm_Krai
беслан,россия	Beslan
ельнинский район,россия	Yelninsky_District
цильнинский район,россия	Tsilninsky_District
посьета,россия	Posyet
мишуково,россия	Mishukovo,_Murmansk_Oblast
марксовский район,россия	Marksovsky_District
питкяранта,россия	Pitkyaranta
домодедово,россия	Domodedovo_(town)
усть-янский улус,россия	Ust-Yansky_District
семилукский район,россия	Semiluksky_District
борович,россия	Borovichi
лекечен,россия	Lyokyochyon
озерский район,россия	Ozyorsky_District,_Moscow_Oblast
бальшемуртинский район,россия	Bolshemurtinsky_District
белый городок,россия	Bely_Gorodok
данков,россия	Dankov
параньга,россия	Paranga,_Russia
михайловск,россия	Mikhaylovsk,_Sverdlovsk_Oblast
неманский район,россия	Nemansky_District
томпонский улус,россия	Tomponsky_District
воронежский область,россия	Voronezh_Oblast
тужинский район,россия	Tuzhinsky_District
Абый,россия	Abyy
бузулук,россия	Buzuluk,_Orenburg_Oblast
зверосовхоз,россия	Zverosovkhoz
каменский район,россия	Kamensky_District,_Voronezh_Oblast
трубчевский район,россия	Trubchevsky_District
ючюгей,россия	Yuchyugey
конаково,россия	Konakovo
тея,россия	Teya,_Russia
гусь-хрустальный район,россия	Gus-Khrustalny_District
ступинский район,россия	Stupinsky_District
здвинский район,россия	Zdvinsky_District
хвойный,россия	Khvoynaya,_Khvoyninsky_District,_Novgorod_Oblast
инта,россия	Inta
верхнетуломский,россия	Verkhnetulomsky
карасукский район,россия	Karasuksky_District
эвено-бытантайский национальный улус,россия	Eveno-Bytantaysky_National_District
вихоревка,россия	Vikhorevka
домбай,россия	Dombay,_Karachay-Cherkess_Republic
уссурийск,россия	Ussuriysk
пустошка,россия	Pustoshka,_Pustoshkinsky_District,_Pskov_Oblast
белинский,россия	Belinsky,_Penza_Oblast
могоча,россия	Mogocha
васильевский мох,россия	Vasilyevsky_Mokh
зубцов,россия	Zubtsov
орда,россия	Orda,_Perm_Krai
похвистнево,россия	Pokhvistnevo,_Samara_Oblast
кромский район,россия	Kromskoy_District
высоковск,россия	Vysokovsk
сасылыкать,россия	Sasylykan
череповец,россия	Cherepovets
чукотский район,россия	Chukotsky_District
кеди,россия	Kedy
лебедянский район,россия	Lebedyansky_District
колышлейский район,россия	Kolyshleysky_District
нерехта,россия	Nerekhta,_Kostroma_Oblast
южа,россия	Yuzha
новый кяхулай,россия	Novy_Kyakhulay
южноуральск,россия	Yuzhnouralsk
калининградский область,россия	Kaliningrad_Oblast
адыгейск,россия	Adygeysk
калачевский район,россия	Kalachyovsky_District
сарапул,россия	Sarapul
армавир,россия	Armavir,_Russia
кюлекянь,россия	Kyulekyan
кептень,россия	Kepteni
александров,россия	Alexandrov,_Vladimir_Oblast
миллерово,россия	Millerovo,_Millerovsky_District,_Rostov_Oblast
верхнемамонский район,россия	Verkhnemamonsky_District
змеиногорск,россия	Zmeinogorsk
ростов-на-дону,россия	Rostov-on-Don
вилючинск,россия	Vilyuchinsk
суол,россия	Suola,_Moruksky_Rural_Okrug,_Megino-Kangalassky_District,_Sakha_Republic
чойский район,россия	Choysky_District
красногвардейский район,россия	Krasnogvardeysky_District,_Orenburg_Oblast
енисейский район,россия	Yeniseysky_District
республика карелия,россия	Republic_of_Karelia
уварово,россия	Uvarovo,_Tambov_Oblast
чаваньга,россия	Chavanga
люберецкий район,россия	Lyuberetsky_District
торго,россия	Torgo_(urban-type_settlement)
искитимский район,россия	Iskitimsky_District
кологривский район,россия	Kologrivsky_District
дубовский район,россия	Dubovsky_District,_Volgograd_Oblast
мари-турек,россия	Mari-Turek
еланк,россия	Yelanka
мирнинский улус,россия	Mirninsky_District
балагаччы,россия	Balagachchy
забайкальск,россия	Zabaykalsk
озерск,россия	Ozyorsk,_Kaliningrad_Oblast
чагд,россия	Chagda,_Kobyaysky_District,_Sakha_Republic
полесский район,россия	Polessky_District
руднянский район,россия	Rudnyansky_District,_Volgograd_Oblast
майя,россия	Mayya_(rural_locality)
киреевский район,россия	Kireyevsky_District
дайа-амгат,россия	Daya-Amgata
торопец,россия	Toropets
лесна,россия	Lesnoy,_Sverdlovsk_Oblast
орехово-зуевский район,россия	Orekhovo-Zuyevsky_District
покровск,россия	Pokrovsk,_Sakha_Republic
нижний тагил,россия	Nizhny_Tagil
плюсса,россия	Plyussa
сорочинский район,россия	Sorochinsky_District
батагай-алывать,россия	Batagay-Alyta
наро-фоминский район,россия	Naro-Fominsky_District
бронницы,россия	Bronnitsy
ягельный бор,россия	Yagelny_Bor
краснохолмский район,россия	Krasnokholmsky_District
семикаракорск,россия	Semikarakorsk
карачевский район,россия	Karachevsky_District
верхоянск,россия	Verkhoyansk
исетский район,россия	Isetsky_District
быковский район,россия	Bykovsky_District
новодугинский район,россия	Novoduginsky_District
суджа,россия	Sudzha,_Kursk_Oblast
арзамас,россия	Arzamas
новорайчихинск,россия	Novoraychikhinsk
дновский район,россия	Dnovsky_District
кимрский район,россия	Kimrsky_District
питерский район,россия	Pitersky_District
остров большой олений,россия	Ostrov_Bolshoy_Oleny
чкалов,россия	Chkalov,_Nyurbinsky_District,_Sakha_Republic
хандыга,россия	Khandyga
венгеровский район,россия	Vengerovsky_District
тулома,россия	Tuloma_(rural_locality)
старый купавна,россия	Staraya_Kupavna
жархан,россия	Zharkhan,_Olyokminsky_District,_Sakha_Republic
михайлов,россия	Mikhaylov,_Ryazan_Oblast
лодейнопольский район,россия	Lodeynopolsky_District
дабан,россия	Daban,_Russia
ахтубинский район,россия	Akhtubinsky_District
нюрбачан,россия	Nyurbachan
олекминский,россия	Olyokminsky_(rural_locality)
иссинский район,россия	Issinsky_District
хасавюрт,россия	Khasavyurt
