Славянск	Slavyansk-na-Kubani
Реутов	Reutov
Кытыл-Дюра	Kytyl-Dyura
Республика Северная Осетия — Алания	North_Ossetia-Alania
Славский район	Slavsky_District
Никольск	Nikolsk,_Vologda_Oblast
Илекский район	Ileksky_District
Тектюр	Tyokhtyur,_Megino-Kangalassky_District,_Sakha_Republic
Тенкя	Tenkya
Абага центральная	Abaga_tsentralnaya
Красногорский	Krasnogorsky,_Mari_El_Republic
Хадыженск	Khadyzhensk
Мохсоголлох	Mokhsogollokh
Дорогобужский район	Dorogobuzhsky_District
Красноярск	Krasnoyarsk
Камызякский район	Kamyzyaksky_District
Ольховатский район	Olkhovatsky_District
Урюпинский район	Uryupinsky_District
Мяунджа	Myaundzha
Верхотурский район	Verkhotursky_District
Ары-Толон	Ary-Tolon
Нефтегорский район	Neftegorsky_District
Углегорск	Uglegorsk,_Sakhalin_Oblast
Мордовский район	Mordovsky_District
Мценск	Mtsensk
Эбя	Ebya,_Vilyuysky_District,_Sakha_Republic
Плавский район	Plavsky_District
Волгоград	Volgograd
Нижнеомский район	Nizhneomsky_District
Мотыгинский район	Motyginsky_District
Лосино-Петровский	Losino-Petrovsky
Чымнайи	Chymnayi
Приволжский	Privolzhsky,_Mari_El_Republic
Бежаницы	Bezhanitsy
Усть-Мая	Ust-Maya
Тавдинский район	Tavdinsky_District
Ровенский район	Rovensky_District,_Saratov_Oblast
Катав-Ивановский район	Katav-Ivanovsky_District
Стерлитамак	Sterlitamak
Озинский район	Ozinsky_District
Павлоградский район	Pavlogradsky_District
Ягоднинский район	Yagodninsky_District
Ытык-Кюёль	Ytyk-Kyuyol
Лаврентия	Lavrentiya
Зеленоградск	Zelenogradsk
Кяхта	Kyakhta
Лузский район	Luzsky_District
Илимнир	Ilimnir
Терновский район	Ternovsky_District
Безымянный	Bezymyanny,_Sakha_Republic
Воскресенск	Voskresensk,_Moscow_Oblast
Коммунар	Kommunar,_Gatchinsky_District,_Leningrad_Oblast
Котельничский район	Kotelnichsky_District
Волжский район	Volzhsky_District,_Samara_Oblast
Рыльский район	Rylsky_District
Суон-Тит	Suon-Tit
Уржумский район	Urzhumsky_District
Ефремов	Yefremov_(town)
Лукояновский район	Lukoyanovsky_District
Староуткинск	Staroutkinsk
Уолбут	Uolbut
Бельский район	Belsky_District,_Tver_Oblast
Новопавловск	Novopavlovsk
Газимурский Завод	Gazimursky_Zavod
Богдановичский район	Bogdanovichsky_District
Учалы	Uchaly_(town)
Правдинский район	Pravdinsky_District
Княгинино	Knyaginino,_Nizhny_Novgorod_Oblast
Пикалёво	Pikalyovo,_Leningrad_Oblast
Каменск	Kamensk,_Republic_of_Buryatia
Калач-на-Дону	Kalach-na-Donu
Мучкапский район	Muchkapsky_District
Коченёвский район	Kochenyovsky_District
Спутник	Sputnik,_Murmansk_Oblast
Анадырь	Anadyr_(town)
район Сокольники	Sokolniki_District
Слюдянка	Slyudyanka,_Slyudyansky_District,_Irkutsk_Oblast
Красноярский район	Krasnoyarsky_District,_Samara_Oblast
Новоалександровск	Novoalexandrovsk
Нечаевка	Nechayevka,_Voronezh_Oblast
Краснинский район	Krasninsky_District,_Smolensk_Oblast
Алапаевск	Alapayevsk
Восточный Кильдин	Vostochny_Kildin
Дмитриевский район	Dmitriyevsky_District
Вельский район	Velsky_District
Ворсма	Vorsma
Малмыжский район	Malmyzhsky_District
Ыллымах	Yllymakh
Владимир	Vladimir
Старобаширово	Starobashirovo
Корсаковский район	Korsakovsky_District,_Oryol_Oblast
Я́годное	Yagodnoye,_Magadan_Oblast
Крест-Хальджай	Krest-Khaldzhay
Бердигестях	Berdigestyakh
Чаунский район	Chaunsky_District
Электроугли	Elektrougli
Велижский район	Velizhsky_District
Ипатово	Ipatovo,_Stavropol_Krai
Сернур	Sernur
Каргополь	Kargopol
Башмаковский район	Bashmakovsky_District
Серов	Serov_(town)
Шатура	Shatura
Намцы	Namtsy
Корф	Korf,_Russia
Шарья	Sharya
Мындаба	Myndaba
Ульяновка	Ulyanovka,_Leningrad_Oblast
Полигус	Poligus
Эмиссы	Emissy
Кичменгский Городок	Kichmengsky_Gorodok
Дмитровск	Dmitrovsk
Шабалинский район	Shabalinsky_District
Уваровский район	Uvarovsky_District
Тарногский Городок	Tarnogsky_Gorodok
Маяк Тювагубский	Mayak_Tyuvagubsky
Коркинский район	Korkinsky_District
Весьегонский район	Vesyegonsky_District
Тюбяй	Tyubyay
Чолбон	Cholbon
Савинский	Savinsky,_Arkhangelsk_Oblast
Ржаксинский район	Rzhaksinsky_District
Электросталь	Elektrostal
Верхнее Дуброво	Verkhneye_Dubrovo,_Sverdlovsk_Oblast
Абакан	Abakan
Долинск	Dolinsk,_Sakhalin_Oblast
Шелеховский район	Shelekhovsky_District
Анадырский район	Anadyrsky_District
Верхошижемский район	Verkhoshizhemsky_District
Фатеж	Fatezh
Пошехонье	Poshekhonye
Белокуриха	Belokurikha
Кыштовский район	Kyshtovsky_District
Тимский район	Timsky_District
Курган	Kurgan,_Kurgan_Oblast
Ефремово	Yefremovo,_Sakha_Republic
Юкагир	Yukagir
Качикатцы	Kachikattsy
Светлогорск	Svetlogorsk,_Kaliningrad_Oblast
Новомичуринск	Novomichurinsk
Арамиль	Aramil
Бютяй-Юрдя	Byutyay-Yurdya
Североморск	Severomorsk
Опочецкий район	Opochetsky_District
Фировский район	Firovsky_District
Беркакит	Berkakit
Вохомский район	Vokhomsky_District
Бежецкий район	Bezhetsky_District
Краснояружский район	Krasnoyaruzhsky_District
Становлянский район	Stanovlyansky_District
Алтухово	Altukhovo,_Karinskoye_Rural_Settlement,_Zaraysky_District,_Moscow_Oblast
Урус-Мартан	Urus-Martan
Демидовский район	Demidovsky_District
Ставрополь	Stavropol
Балахна	Balakhna
Избербаш	Izberbash
Яранск	Yaransk
Шаблыкинский район	Shablykinsky_District
Новая Ладога	Novaya_Ladoga
Очёр	Ochyor
Гатчинский район	Gatchinsky_District
Пушкинские Горы	Pushkinskiye_Gory
Купино	Kupino,_Novosibirsk_Oblast
Геленджик	Gelendzhik
Кяччи	Kyachchi
Нижняя Салда	Nizhnyaya_Salda
Кировский район	Kirovsky_District,_Leningrad_Oblast
Росляково	Roslyakovo,_Murmansk_Oblast
Сангар	Sangar,_Sakha_Republic
Торжок	Torzhok
Приозерск	Priozersk
Новомосковск	Novomoskovsk,_Russia
Братский район	Bratsky_District
Мошенское	Moshenskoye,_Novgorod_Oblast
Чегем	Chegem
Сакмарский район	Sakmarsky_District
Ленинск	Leninsk,_Volgograd_Oblast
Нижняя Тойма	Nizhnyaya_Toyma_(rural_locality)
Крестцы	Kresttsy,_Krestetsky_District,_Novgorod_Oblast
Котовск	Kotovsk,_Russia
Кемь	Kem,_Russia
Костромской район	Kostromskoy_District
Селижаровский район	Selizharovsky_District
Мачах	Machakh
Лахдепохья	Lakhdenpokhya
Кюбеме	Kyubeme
Нытва	Nytva
Хара-Алдан	Khara-Aldan
Воргашор	Vorgashor
Семендер	Semender
Красноборск	Krasnoborsk,_Arkhangelsk_Oblast
Ветлужский район	Vetluzhsky_District
Маяк Никодимский	Mayak_Nikodimsky
Невельск	Nevelsk
Воронцово	Vorontsovo,_Sakha_Republic
Климовск	Klimovsk
Угличский район	Uglichsky_District
Волосовский район	Volosovsky_District
Ярковский район	Yarkovsky_District
Казанский район	Kazansky_District
Сретенск	Sretensk
Луостари	Luostari_(railway_station)
Анабарский улус	Anabarsky_District
Нарьян-Мар	Naryan-Mar
Алагир	Alagir
Омутнинск	Omutninsk
Рассказово	Rasskazovo
Лувеньга	Luvenga
Альметьевск	Almetyevsk
Котельники	Kotelniki
Нуочаха	Nuochakha
Юрьевецкий район	Yuryevetsky_District
Кантемировский район	Kantemirovsky_District
Гусиноозёрск	Gusinoozyorsk
Лейпи	Leypi
Алтанцы	Altantsy
Тогучинский район	Toguchinsky_District
Навашинский район	Navashinsky_District
Екюндю	Yekyundyu
Корабельное	Korabelnoye
Ясный	Yasny,_Orenburg_Oblast
Липецкий район	Lipetsky_District
Каменский  район	Kamensky_District,_Rostov_Oblast
Тегюльте	Tegyulte
Лукоянов	Lukoyanov
Тихорецк	Tikhoretsk
Спасск	Spassk,_Penza_Oblast
Калязин	Kalyazin
Улаганский район	Ulagansky_District
Кочковский район	Kochkovsky_District
Комсомол	Komsomol,_Russia
Шимск	Shimsk
Цивильск	Tsivilsk
Хонуу	Khonuu
Нюя	Nyuya
Красный Холм	Krasny_Kholm,_Krasnokholmsky_District,_Tver_Oblast
Богатовский район	Bogatovsky_District
Краснокутский район	Krasnokutsky_District
Зеленокумск	Zelenokumsk
Багратионовск	Bagrationovsk
Золотинка	Zolotinka
Приморский край	Primorsky_Krai
Калашниково	Kalashnikovo,_Tver_Oblast
Камышинский район	Kamyshinsky_District
Исит	Isit,_Russia
Любинский район	Lyubinsky_District
Гимры	Gimry
Сызранский район	Syzransky_District
Голицыно	Golitsyno,_Moscow_Oblast
Курчатовский район	Kurchatovsky_District,_Kursk_Oblast
Светогорск	Svetogorsk
Андрюшкино	Andryushkino
Соловецкий	Solovetsky,_Arkhangelsk_Oblast
Енотаевский район	Yenotayevsky_District
Дзержинск	Dzerzhinsk,_Russia
Краснодар	Krasnodar
Большой Хатыми	Bolshoy_Khatymi
Камешкирский район	Kameshkirsky_District
Сюля	Syulya
Элиста	Elista
Кежемский район	Kezhemsky_District
Короча	Korocha
Сунский район	Sunsky_District
Сальский район	Salsky_District
Чебулинский район	Chebulinsky_District
Шацк	Shatsk,_Russia
Шигонский район	Shigonsky_District
Ржевский район	Rzhevsky_District
Белёвский район	Belyovsky_District
Камызяк	Kamyzyak
Иланский район	Ilansky_District
Амбарчик	Ambarchik
Городецкий район	Gorodetsky_District
Когалым	Kogalym
Килпъявр	Kilpyavr_(rural_locality)
Новый Сулак	Novy_Sulak
Богородицк	Bogoroditsk
Щигры	Shchigry,_Kursk_Oblast
Азовский район	Azovsky_District
Ленск	Lensk
Усть-Нера	Ust-Nera
Северо-Курильск	Severo-Kurilsk
Новый Уоян	Novy_Uoyan
Шенкурский район	Shenkursky_District
Умёт	Umyot,_Republic_of_Mordovia
Заинск	Zainsk
Кысыл-Юрюйя	Kysyl-Yuryuyya
Малыкай	Malykay
Лесогорский	Lesogorsky
Екатеринбург	Yekaterinburg
Крымск	Krymsk
Малышева	Malysheva,_Sverdlovsk_Oblast
Кологрив	Kologriv
Дельгей	Delgey
Хвалынск	Khvalynsk
Любытино	Lyubytino
Кстовский район	Kstovsky_District
Район Бирюлёво Восточное	Biryulyovo_Vostochnoye_District
Жиганский улус	Zhigansky_District
Курлово	Kurlovo_(town),_Vladimir_Oblast
Северо-Эвенский район	Severo-Evensky_District
Опаринский район	Oparinsky_District
Хабаровск	Khabarovsk
Голубые Ручьи	Golubye_Ruchyi
Трёхгорный	Tryokhgorny
имени Свердлова	Imeni_Sverdlova,_Russia
Каменское	Kamenskoye,_Kamchatka_Krai
Калужская область	Kaluga_Oblast
Понежукай	Ponezhukay
Хапчагай	Khapchagay
Пителинский район	Pitelinsky_District
Николаевск	Nikolayevsk
Перевоз	Perevoz,_Nizhny_Novgorod_Oblast
Багадя	Bagadya,_Verkhnevilyuysky_District,_Sakha_Republic
Кинель	Kinel
Почеп	Pochep,_Bryansk_Oblast
Шали	Shali,_Chechen_Republic
Нижний Новгород	Nizhny_Novgorod
Новолялинский район	Novolyalinsky_District
Павловский Посад	Pavlovsky_Posad
Обливский район	Oblivsky_District
Нефтегорск	Neftegorsk,_Samara_Oblast
Соболох	Sobolokh
Хатырык-Хомо	Khatyryk-Khomo
Русское Устье	Russkoye_Ustye
Черепаново	Cherepanovo,_Novosibirsk_Oblast
Родионово-Несветайский район	Rodionovo-Nesvetaysky_District
Переволоцкий район	Perevolotsky_District
Княгининский район	Knyagininsky_District
Сандово	Sandovo
Медвежьегорск	Medvezhyegorsk
Семёнов	Semyonov,_Nizhny_Novgorod_Oblast
Усть-Донецкий район	Ust-Donetsky_District
Новомалыклинский район	Novomalyklinsky_District
Ивнянский район	Ivnyansky_District
Ивановский район	Ivanovsky_District,_Ivanovo_Oblast
Шипицыно	Shipitsyno
Бердюжский район	Berdyuzhsky_District
Ахты	Akhty
Куранах-Сала	Kuranakh-Sala
Карабулак	Karabulak,_Republic_of_Ingushetia
Новый Карачай	Novy_Karachay
Верховажье	Verkhovazhye
Пермский край	Perm_Krai
Раменский район	Ramensky_District
Кемеровская область	Kemerovo_Oblast
Верхнекетский район	Verkhneketsky_District
Сарданга	Sardanga
Чара	Chara_(rural_locality)
Бясь-Шея	Byas-Sheya
Каргатский район	Kargatsky_District
Холмск	Kholmsk
Димитровград	Dimitrovgrad,_Russia
Демидов	Demidov,_Smolensk_Oblast
Фурмановский район	Furmanovsky_District
Дмитров	Dmitrov
Кылайы	Kylayy
Сердобский район	Serdobsky_District
Красновишерск	Krasnovishersk
Навлинский район	Navlinsky_District
Орёл	Oryol
Щёкино	Shchyokino_(town),_Tula_Oblast
Кысыл-Сыр	Kysyl-Syr,_Vilyuysky_District,_Sakha_Republic
Карагай	Karagay,_Perm_Krai
Юрьевец	Yuryevets,_Ivanovo_Oblast
27	27_km_Zheleznoy_Dorogi_Monchegorsk–Olenya
Кириллов	Kirillov_(town)
Костерёво	Kosteryovo
Кинешма	Kineshma
Тоцкий район	Totsky_District
Идринский район	Idrinsky_District
Петропавловск-Камчатский	Petropavlovsk-Kamchatsky
Партизанск	Partizansk
Тятербаш	Tyaterbash
Кубинка	Kubinka
Сеят	Seyat
Злынка	Zlynka
Грязинский район	Gryazinsky_District
Биробиджан	Birobidzhan
Район Капотня	Kapotnya_District
Богучар	Boguchar
Лангепас	Langepas
Покровский район	Pokrovsky_District
Булун	Bulun,_Tattinsky_District,_Sakha_Republic
Ногинск	Noginsk
Норск	Norsk_(rural_locality)
Дюллюкю	Dyullyukyu
Аэропорт	Aeroport,_Tomponsky_District,_Sakha_Republic
Белокалитвинский район	Belokalitvinsky_District
Арангастах	Arangastakh
Покровка	Pokrovka,_Sakha_Republic
Касимов	Kasimov
Ярцево	Yartsevo,_Smolensk_Oblast
Ымыяхтах	Ymyyakhtakh
Троицк	Troitsk,_Ust-Maysky_District,_Sakha_Republic
Зареченск	Zarechensk
Эльбрусский	Elbrussky_(urban-type_settlement)
Зырянский район	Zyryansky_District
Нижнеколымск	Nizhnekolymsk
Иваново	Ivanovo
Ессентуки	Yessentuki
Нижний Куранах	Nizhny_Kuranakh
Оршанка	Orshanka,_Orshansky_District,_Mari_El_Republic
Мегино-Алдан	Megino-Aldan
Краснотурьинск	Krasnoturyinsk
Нязепетровский район	Nyazepetrovsky_District
Кораблино	Korablino,_Korablinsky_District,_Ryazan_Oblast
Борзя	Borzya
Пушкиногорский район	Pushkinogorsky_District
Ленинградская область	Leningrad_Oblast
Нея	Neya_(town)
Козульский район	Kozulsky_District
Звенигово	Zvenigovo
Вяземский район	Vyazemsky_District,_Smolensk_Oblast
Усолье	Usolye,_Usolsky_District,_Perm_Krai
Беслан	Beslan
Ельнинский район	Yelninsky_District
Цильнинский район	Tsilninsky_District
Посьет	Posyet
Мишуково	Mishukovo,_Murmansk_Oblast
Марксовский район	Marksovsky_District
Питкяранта	Pitkyaranta
Домодедово	Domodedovo_(town)
Усть-Янский улус	Ust-Yansky_District
Семилукский район	Semiluksky_District
Боровичи	Borovichi
Лёкёчён	Lyokyochyon
Озёрский район	Ozyorsky_District,_Moscow_Oblast
Бальшемуртинский район	Bolshemurtinsky_District
Белый Городок	Bely_Gorodok
Данков	Dankov
Параньга	Paranga,_Russia
Михайловск	Mikhaylovsk,_Sverdlovsk_Oblast
Неманский район	Nemansky_District
Томпонский улус	Tomponsky_District
Воронежская область	Voronezh_Oblast
Тужинский район	Tuzhinsky_District
Абый	Abyy
Бузулук	Buzuluk,_Orenburg_Oblast
Зверосовхоз	Zverosovkhoz
Каменский район	Kamensky_District,_Voronezh_Oblast
Трубчевский район	Trubchevsky_District
Ючюгей	Yuchyugey
Конаково	Konakovo
Тея	Teya,_Russia
Гусь-Хрустальный район	Gus-Khrustalny_District
Ступинский район	Stupinsky_District
Здвинский район	Zdvinsky_District
Хвойная	Khvoynaya,_Khvoyninsky_District,_Novgorod_Oblast
Инта	Inta
Верхнетуломский	Verkhnetulomsky
Карасукский район	Karasuksky_District
Эвено-Бытантайский национальный улус	Eveno-Bytantaysky_National_District
Вихоревка	Vikhorevka
Домбай	Dombay,_Karachay-Cherkess_Republic
Уссурийск	Ussuriysk
Пустошка	Pustoshka,_Pustoshkinsky_District,_Pskov_Oblast
Белинский	Belinsky,_Penza_Oblast
Могоча	Mogocha
Васильевский Мох	Vasilyevsky_Mokh
Зубцов	Zubtsov
Орда	Orda,_Perm_Krai
Похвистнево	Pokhvistnevo,_Samara_Oblast
Кромской район	Kromskoy_District
Высоковск	Vysokovsk
Сасылыкан	Sasylykan
Череповец	Cherepovets
Чукотский район	Chukotsky_District
Кеди	Kedy
Лебедянский район	Lebedyansky_District
Колышлейский район	Kolyshleysky_District
Нерехта	Nerekhta,_Kostroma_Oblast
Южа	Yuzha
Новый Кяхулай	Novy_Kyakhulay
Южноуральск	Yuzhnouralsk
Калининградская область	Kaliningrad_Oblast
Адыгейск	Adygeysk
Калачёвский район	Kalachyovsky_District
Сарапул	Sarapul
Армавир	Armavir,_Russia
Кюлекянь	Kyulekyan
Кептени	Kepteni
Александров	Alexandrov,_Vladimir_Oblast
Миллерово	Millerovo,_Millerovsky_District,_Rostov_Oblast
Верхнемамонский район	Verkhnemamonsky_District
Змеиногорск	Zmeinogorsk
Ростов-на-Дону	Rostov-on-Don
Вилючинск	Vilyuchinsk
Суола	Suola,_Moruksky_Rural_Okrug,_Megino-Kangalassky_District,_Sakha_Republic
Чойский район	Choysky_District
Красногвардейский район	Krasnogvardeysky_District,_Orenburg_Oblast
Енисейский район	Yeniseysky_District
Республика Карелия	Republic_of_Karelia
Уварово	Uvarovo,_Tambov_Oblast
Чаваньга	Chavanga
Люберецкий район	Lyuberetsky_District
Торго	Torgo_(urban-type_settlement)
Искитимский район	Iskitimsky_District
Кологривский район	Kologrivsky_District
Дубовский район	Dubovsky_District,_Volgograd_Oblast
Мари-Турек	Mari-Turek
Еланка	Yelanka
Мирнинский улус	Mirninsky_District
Балагаччы	Balagachchy
Забайка́льск	Zabaykalsk
Озёрск	Ozyorsk,_Kaliningrad_Oblast
Чагда	Chagda,_Kobyaysky_District,_Sakha_Republic
Полесский район	Polessky_District
Руднянский район	Rudnyansky_District,_Volgograd_Oblast
Майя	Mayya_(rural_locality)
Киреевский район	Kireyevsky_District
Дайа-Амгата	Daya-Amgata
Торопец	Toropets
Лесной	Lesnoy,_Sverdlovsk_Oblast
Орехово-Зуевский район	Orekhovo-Zuyevsky_District
Покровск	Pokrovsk,_Sakha_Republic
Нижний Тагил	Nizhny_Tagil
Плюсса	Plyussa
Сорочинский район	Sorochinsky_District
Батагай-Алыта	Batagay-Alyta
Наро-Фоминский район	Naro-Fominsky_District
Бронницы	Bronnitsy
Ягельный Бор	Yagelny_Bor
Краснохолмский район	Krasnokholmsky_District
Семикаракорск	Semikarakorsk
Карачевский район	Karachevsky_District
Верхоянск	Verkhoyansk
Исетский район	Isetsky_District
Быковский район	Bykovsky_District
Новодугинский район	Novoduginsky_District
Суджа	Sudzha,_Kursk_Oblast
Арзамас	Arzamas
Новорайчихинск	Novoraychikhinsk
Дновский район	Dnovsky_District
Кимрский район	Kimrsky_District
Питерский район	Pitersky_District
Остров Большой Олений	Ostrov_Bolshoy_Oleny
Чкалов	Chkalov,_Nyurbinsky_District,_Sakha_Republic
Хандыга	Khandyga
Венгеровский район	Vengerovsky_District
Тулома	Tuloma_(rural_locality)
Старая Купавна	Staraya_Kupavna
Жархан	Zharkhan,_Olyokminsky_District,_Sakha_Republic
Михайлов	Mikhaylov,_Ryazan_Oblast
Лодейнопольский район	Lodeynopolsky_District
Дабан	Daban,_Russia
Ахтубинский район	Akhtubinsky_District
Нюрбачан	Nyurbachan
Олёкминский	Olyokminsky_(rural_locality)
Иссинский район	Issinsky_District
Хасавюрт	Khasavyurt
Малыкан	Malykan
Арыктах	Aryktakh
Вологодская область	Vologda_Oblast
Протвино	Protvino
Джарджан	Dzhardzhan
Усть-Таркский район	Ust-Tarksky_District
Пласт	Plast_(town)
Багдарин	Bagdarin
Балаково	Balakovo
Коряжма	Koryazhma
Тургенево	Turgenevo,_Republic_of_Mordovia
Ванавара	Vanavara_(rural_locality)
Таловский район	Talovsky_District
Ковернинский район	Koverninsky_District
Тюнгюлю	Tyungyulyu
Дагестанские Огни	Dagestanskiye_Ogni
Чапаево	Chapayevo,_Olyokminsky_District,_Sakha_Republic
Белогорский район	Belogorsky_District
Заволжск	Zavolzhsk
Бокситогорск	Boksitogorsk
Орто-Балаган	Orto-Balagan
Кётёрдёх	Kyotyordyokh
Обоянь	Oboyan
Электрогорск	Elektrogorsk
Узловский район	Uzlovsky_District
Черняховск	Chernyakhovsk
Новоузенский район	Novouzensky_District
Жатай	Zhatay
Центарой	Tsentaroy,_Kurchaloyevsky_District,_Chechen_Republic
Нуорагана	Nuoragana
Касли	Kasli
Магнетиты	Magnetity
Муромский район	Muromsky_District
Казань	Kazan
Серебряный Бор	Serebryany_Bor,_Sakha_Republic
Чекунда	Chekunda
Аннинский район	Anninsky_District
Саратовский район	Saratovsky_District
Тымовское	Tymovskoye
Люксюгюн	Lyuksyugyun
Навашино	Navashino
Борисоглебский район	Borisoglebsky_District,_Yaroslavl_Oblast
Солигаличский район	Soligalichsky_District
Отрадное	Otradnoye,_Kirovsky_District,_Leningrad_Oblast
Эбях	Ebyakh
Усть-Лабинск	Ust-Labinsk
Междуречье	Mezhdurechye
Липецк	Lipetsk
Пичаевский район	Pichayevsky_District
Белая Гора	Belaya_Gora,_Sakha_Republic
Кола	Kola,_Russia
Сланцы	Slantsy,_Leningrad_Oblast
Адлерский внутригородской район	Adlersky_City_District
Канский район	Kansky_District
Югорёнок	Yugoryonok
Хочо	Khocho
Московская область	Moscow_Oblast
Свободный	Svobodny,_Sverdlovsk_Oblast
Коркино	Korkino,_Chelyabinsk_Oblast
Республика Татарстан	Tatarstan
Октябрьский	Oktyabrsky,_Republic_of_Bashkortostan
Гаврилово-Посадский район	Gavrilovo-Posadsky_District
Мокшанский район	Mokshansky_District
Староватово	Starovatovo
Сыгыннах	Sygynnakh
Почепский район	Pochepsky_District
Кривошеинский район	Krivosheinsky_District
Ракитянский район	Rakityansky_District
Суровикино	Surovikino
Суоярви	Suoyarvi
Идрица	Idritsa
Абыйский улус	Abyysky_District
Мураши	Murashi,_Kirov_Oblast
Ейск	Yeysk
Тарки	Tarki
Красногородск	Krasnogorodsk
Городец	Gorodets,_Nizhny_Novgorod_Oblast
Комсомольский	Komsomolsky,_Republic_of_Mordovia
Павловский район	Pavlovsky_District,_Voronezh_Oblast
Мазановский район	Mazanovsky_District
Гдовский район	Gdovsky_District
Севский район	Sevsky_District
Куберганя	Kuberganya
Кашира	Kashira
Нижнесергинский район	Nizhneserginsky_District
Светлоярский район	Svetloyarsky_District
Танда	Tanda,_Russia
Ливенский район	Livensky_District
Харыялах	Kharyyalakh,_Verkhnevilyuysky_District,_Sakha_Republic
Осинники	Osinniki
Сургутский район	Surgutsky_District
Шуйское	Shuyskoye,_Vologda_Oblast
Подкаменная Тунгуска	Podkamennaya_Tunguska_(rural_locality)
Горбатов	Gorbatov,_Nizhny_Novgorod_Oblast
Пушной	Pushnoy,_Murmansk_Oblast
Владимирская область	Vladimir_Oblast
Поворино	Povorino
Льгов	Lgov,_Kursk_Oblast
Вышний Волочёк	Vyshny_Volochyok
Верхний Тагил	Verkhny_Tagil
Огородтах	Ogorodtakh
Кировская область	Kirov_Oblast
Приуральский район	Priuralsky_District
Борисово-Околицы	Borisovo-Okolitsy
Фурманов	Furmanov,_Ivanovo_Oblast
Мамоново	Mamonovo
Великий Устюг	Veliky_Ustyug
Петушки	Petushki,_Sakha_Republic
Углич	Uglich
Бабынинский район	Babyninsky_District
Первоуральск	Pervouralsk
Псковская область	Pskov_Oblast
Минькино	Minkino,_Murmansk_Oblast
Тас-Юрях	Tas-Yuryakh
Большой Камень	Bolshoy_Kamen
Аппаны	Appany
Асиновский район	Asinovsky_District
Салават	Salavat,_Russia
Пуровский район	Purovsky_District
Черский	Chersky_(settlement)
район Щукино	Shchukino_District
Туора-Кюёль	Tuora-Kyuyol,_Tattinsky_District,_Sakha_Republic
Рассолода	Rassoloda
Брединский район	Bredinsky_District
Волочанка	Volochanka
Килянки	Kilyanki
Верхнеуральский район	Verkhneuralsky_District
Верхнеуральск	Verkhneuralsk
Республика Калмыкия	Kalmykia
Кирово-Чепецк	Kirovo-Chepetsk
Быччагдан	Bychchagdan
Селиваново	Selivanovo,_Sakha_Republic
Абаза	Abaza_(town)
Балей	Baley,_Russia
Дмитриев	Dmitriyev_(town)
Ломоносов	Lomonosov,_Russia
Новый Оскол	Novy_Oskol
Хомустах	Khomustakh,_Namsky_Rural_Okrug,_Verkhnevilyuysky_District,_Sakha_Republic
Боханский район	Bokhansky_District
Сайды	Saydy,_Verkhoyansky_District,_Sakha_Republic
Свердловский район	Sverdlovsky_District,_Oryol_Oblast
Черемховский район	Cheremkhovsky_District
Имандра	Imandra
Усть-Кутский район	Ust-Kutsky_District
Тиличики	Tilichiki
Зырянка	Zyryanka,_Sakha_Republic
Рославль	Roslavl
Кожва	Kozhva
Атяшево	Atyashevo,_Atyashevsky_District,_Republic_of_Mordovia
Фёдоровский район	Fyodorovsky_District,_Saratov_Oblast
Шея	Sheya
Луховицы	Lukhovitsy
Затон ЛОРПа	Zaton_LORPa
Дедовск	Dedovsk
Ордынский район	Ordynsky_District
Михайловский	Mikhaylovsky,_Saratov_Oblast
Верхняя Амга	Verkhnyaya_Amga
Чернышевск	Chernyshevsk
Майкоп	Maykop
Фокино	Fokino,_Primorsky_Krai
Эртиль	Ertil,_Voronezh_Oblast
Шарьинский район	Sharyinsky_District
Карачев	Karachev
Темников	Temnikov
Златоуст	Zlatoust
Аксай	Aksay,_Rostov_Oblast
Угловка	Uglovka,_Novgorod_Oblast
Тюкалинск	Tyukalinsk
Вознесенье	Voznesenye
Новокубанск	Novokubansk
Весьегонск	Vesyegonsk
Чапаевск	Chapayevsk
Нёнокса	Nyonoksa
Еланский район	Yelansky_District
Новосибирский район	Novosibirsky_District
Оленино	Olenino,_Tver_Oblast
Целинский район	Tselinsky_District
Суджанский район	Sudzhansky_District
Верхнетоемский район	Verkhnetoyemsky_District
Камбарка	Kambarka
Томари	Tomari,_Russia
Ряжский район	Ryazhsky_District
Ярославский	Yaroslavsky,_Sakha_Republic
Краснено	Krasneno
Ары-Тит	Ary-Tit
Советск	Sovetsk,_Tula_Oblast
Белоярский	Beloyarsky,_Sverdlovsk_Oblast
Полысаево	Polysayevo
Приморск	Primorsk,_Leningrad_Oblast
Задонский район	Zadonsky_District
Сегян-Кюёль	Segyan-Kyuyol
Кохма	Kokhma
Грибановский район	Gribanovsky_District
Дно	Dno
Черноярский район	Chernoyarsky_District
Крестях	Krestyakh
Ульяновск	Ulyanovsk
Пролетарский район	Proletarsky_District,_Rostov_Oblast
Няндома	Nyandoma
Де-Кастри	De-Kastri
Кызыл	Kyzyl
Ак-Довурак	Ak-Dovurak
Рыльск	Rylsk,_Russia
Подольск	Podolsk
Сертолово	Sertolovo
Чапчылган	Chapchylgan
Шексна	Sheksna,_Sheksninsky_District,_Vologda_Oblast
Урень	Uren,_Russia
Радужный	Raduzhny,_Vladimir_Oblast
Емельяновский район	Yemelyanovsky_District
Александрово-Гайский район	Alexandrovo-Gaysky_District
Тала	Tala,_Russia
Янчукан	Yanchukan
Захаровский район	Zakharovsky_District
