вильферсдорф	Wilfersdorf
алатос	Alatoz
аквилея	Aquileia
вегильяс-де-ла-сьерра	Veguillas_de_la_Sierra
банбери	Bunbury,_Western_Australia
вальдьери	Valdieri
арнезано	Arnesano
боа-виста,рорайма	Boa_Vista,_Roraima
вольфсберг	Wolfsberg,_Carinthia
владыславово	Władysławowo
вабаг	Wabag
бистрица,румыния	Bistrița
бандар-лампунг	Bandar_Lampung
аньда	Anda,_Heilongjiang
виллафранка-ди-верона	Villafranca_di_Verona
бастида-панкарана	Bastida_Pancarana
анцола-дель-эмилия	Anzola_dell'Emilia
вильгельмсхафен	Wilhelmshaven
браунтон,город	Brownton,_Minnesota
виго-ди-фасса	Vigo_di_Fassa
альмоаха	Almohaja
анциранана	Antsiranana
бенкулу	Bengkulu_(city)
арлуно	Arluno
амасра	Amasra
аркозанти	Arcosanti
волла	Volla,_Campania
бережаны	Berezhany
ари,провинция кьети	Ari,_Abruzzo
бирори	Birori
вудленд,город	Woodland,_Minnesota
виль	Wil
балатон,миннесота	Balaton,_Minnesota
беллвилл	Belleville,_Illinois
андервуд	Underwood,_Minnesota
бозизьо-парини	Bosisio_Parini
будоя	Budoia
бейра,мозамбик	Beira,_Mozambique
аккуафредда	Acquafredda
верушув	Wieruszów
альберона	Alberona
валлинфреда	Vallinfreda
бусси-суль-тирино	Bussi_sul_Tirino
буковно	Bukowno
адаб	Adab_(city)
альсерио	Alserio
бодетт,миннесота	Baudette,_Minnesota
виджаявада	Vijayawada
бук,повят	Buk
витторито	Vittorito
венаска	Venasca
виллафранка-сикула	Villafranca_Sicula
букс,санкт-галлен	Buchs,_St._Gallen
бельмонте-ин-сабина	Belmonte_in_Sabina
антиб	Antibes
барвице	Barwice
вилланова-суль-арда	Villanova_sull'Arda
аквавива-делле-фонти	Acquaviva_delle_Fonti
коммуна белла	Bella,_Basilicata
аниак	Aniak,_Alaska
альмудевар	Almudévar
альдейре	Aldeire
бельбимбре	Belbimbre
бердехо	Berdejo
беркли	Berkeley,_California
арборея	Arborea
альберта,город	Alberta,_Minnesota
вауда-канавезе	Vauda_Canavese
виллановафорру	Villanovaforru
биатрис	Beatrice,_Nebraska
быдгощ	Bydgoszcz
вальделинарес	Valdelinares
ваяно	Vaiano
велес	Veles_(city)
бужумбура	Bujumbura
буньель	Buniel
асеучаль	Aceuchal
бельск-подляски	Bielsk_Podlaski
берчвуд-виллидж,город	Birchwood_Village,_Minnesota
букан	Bukan
бонтанг	Bontang
авильяна	Avigliana
андора	Andora
альтенбург	Altenburg,_Lower_Austria
вальдеторрес	Valdetorres
видиша	Vidisha
адельфия	Adelfia
веноза	Venosa
банана,демократическая республика конго	Banana,_Democratic_Republic_of_the_Congo
больяско	Bogliasco
бендзин	Będzin
балтимор	Baltimore
власиха,область	Vlasikha,_Moscow_Oblast
бостад	Båstad
бакуриани	Bakuriani
агура-хиллз	Agoura_Hills,_California
барановка	Baranivka_(city)
алейск	Aleysk
вильольдо	Villoldo
белёв	Belyov
вермеццо	Vermezzo
анандпур сахиб	Anandpur_Sahib
васильевка	Vasylivka
борго-верчелли	Borgo_Vercelli
альмочуэль	Almochuel
ван-бьюрен	Van_Buren,_Arkansas
арриах	Arriach
веддаска	Veddasca
болеславец	Bolesławiec
беслан	Beslan
буин	Buin_Zahra
бомпорто	Bomporto
алибаг	Alibag
бокиньени	Boquiñeni
буэна-парк	Buena_Park,_California
волосово	Volosovo
бульгарограссо	Bulgarograsso
вильясбуэнас-де-гата	Villasbuenas_de_Gata
вольфсграбен	Wolfsgraben
вышкув	Wyszków
владивосток	Vladivostok
велиж	Velizh
боско-кьезануова	Bosco_Chiesanuova
белебей	Belebey
альфорке	Alforque
аркола	Arcola,_Liguria
вольпара	Volpara
бойсе	Boise,_Idaho
бад-блайберг	Bad_Bleiberg
вардха	Wardha
акаива	Akaiwa,_Okayama
вираншехир	Viranşehir
аргайл	Argyle,_Minnesota
борго-тичино	Borgo_Ticino
вальсольда	Valsolda
беруин	Berwyn,_Illinois
вилабелья	Vilabella
велайос	Velayos
брусы	Brusy
богородицк	Bogoroditsk
ауровиль	Auroville
бовес	Boves
алатырь	Alatyr,_Chuvash_Republic
альмерия	Almería
берривилл	Berryville,_Arkansas
абаза	Abaza_(town)
арсикольяр	Arcicóllar
бад-пираварт	Bad_Pirawarth
валлебона	Vallebona
бжезины	Brzeziny
вильяумбралес	Villaumbrales
выру	Võru
аннаберг	Annaberg,_Lower_Austria
амалиендорф-альфанг	Amaliendorf-Aalfang
арбус,сардиния	Arbus,_Sardinia
бласконуньо-де-матакабрас	Blasconuño_de_Matacabras
барни	Barni
арменто	Armento
вильянуэва-дель-арискаль	Villanueva_del_Ariscal
белый,город	Bely,_Tver_Oblast
брешелло	Brescello
виго-рендена	Vigo_Rendena
барано-д’искья	Barano_d'Ischia
аргос	Argos
арлена-ди-кастро	Arlena_di_Castro
андрыхув	Andrychów
вальстанья	Valstagna
ваган	Vahan,_Armenia
вилья-дель-рио	Villa_del_Río
боргосатолло	Borgosatollo
бхиванди	Bhiwandi
алиха-дель-инфантадо	Alija_del_Infantado
арао	Arao,_Kumamoto
альвиано	Alviano
алфа,город	Alpha,_Minnesota
абботсфорд,колумбия	Abbotsford,_British_Columbia
вильяррика	Villarrica,_Chile
амаранти	Amarante,_Portugal
вистрорио	Vistrorio
войковице	Wojkowice
бомарцо	Bomarzo
амасья	Amasya
бирдженд	Birjand
баски,италия	Baschi
аттапы	Attapeu
блэкфут	Blackfoot,_Idaho
вигано	Viganò
банци	Banzi
альвито	Alvito,_Lazio
айдахо-фолс	Idaho_Falls,_Idaho
вайтра	Weitra
вадокондес	Vadocondes
бхандара	Bhandara
бекер,миннесота	Becker,_Minnesota
атуотер,город	Atwater,_Minnesota
ангра-ду-эроишму	Angra_do_Heroísmo
батурин	Baturyn
аксум,город	Axum
аккуаро	Acquaro
боубеллс,дакота	Bowbells,_North_Dakota
алагон	Alagón,_Zaragoza
бездружице	Bezdružice
вилларикка	Villaricca
брабос	Brabos
бакус	Backus,_Minnesota
антиок	Antioch,_California
альманса,леон	Almanza
бломкест	Blomkest,_Minnesota
вильятурде	Villaturde
брум,австралия	Broome,_Western_Australia
аматус	Amathus
вальмоццола	Valmozzola
айзенэрц	Eisenerz
ботоу	Botou
бодзентын	Bodzentyn
бюрг-фёстенхоф	Bürg-Vöstenhof
антиохия	Antioch
барриос-де-колина	Barrios_de_Colina
валлемайо	Vallemaio
вито-д’азио	Vito_d'Asio
вальдефресно	Valdefresno
аревало	Arévalo
бандера	Bandera,_Texas
боре	Bore,_Emilia-Romagna
воница	Vonitsa
авалон	Avalon,_California
берегаццо-кон-фильяро	Beregazzo_con_Figliaro
бустильо-дель-парамо-де-каррион	Bustillo_del_Páramo_de_Carrión
бин-касим	Bin_Qasim_Town
аудиторе	Auditore
аммон,айдахо	Ammon,_Idaho
виница,город	Vinica,_Macedonia
биласпур,город	Bilaspur,_Chhattisgarh
амбувумбе	Ambovombe-Androy
балахна	Balakhna
брашов	Brașov
месторождение ассалуйе	Asaluyeh
аксарай	Aksaray
брукнойдорф	Bruckneudorf
бугульма	Bugulma
бастроп	Bastrop,_Texas
аурано	Aurano
ваприо-д’адда	Vaprio_d'Adda
барбара,город	Barbara,_Marche
вистарино	Vistarino
аруша	Arusha
аппенцелль,город	Appenzell_(town)
брестская крепость	Brest_Fortress
виньяле-монферрато	Vignale_Monferrato
битлис	Bitlis
ашби	Ashby,_Minnesota
альба-адриатика	Alba_Adriatica
вильянуэва-дель-ребольяр	Villanueva_del_Rebollar
арозио	Arosio
вильянуэва-дель-рио-и-минас	Villanueva_del_Río_y_Minas
ахтырка	Okhtyrka
битритто	Bitritto
бильче-золотое,борщёвский район	Bilche_Zolote
вастоджирарди	Vastogirardi
алфа	Alpha,_Minnesota
боярка	Boyarka
аренас-дель-рей	Arenas_del_Rey
альтенбург,нижняя австрия	Altenburg,_Lower_Austria
алачуа	Alachua,_Florida
брандон,миннесота	Brandon,_Minnesota
визельбург	Wieselburg
александруполис	Alexandroupoli
брендола	Brendola
буэу	Bueu
баменда	Bamenda
бакстер,город	Baxter,_Minnesota
анан	Anan,_Tokushima
аччано	Acciano
броумов	Broumov
борголаведзаро	Borgolavezzaro
аспен	Aspen,_Colorado
баже	Bagé
апиче	Apice
арау	Aarau
борне-сулиново	Borne_Sulinowo
бурхание	Burhaniye
арвада,колорадо	Arvada,_Colorado
болхов	Bolkhov
боццоло	Bozzolo
вольгаст	Wolgast
вонсош	Wąsosz
бовино	Bovino
барбадильо-де-эррерос	Barbadillo_de_Herreros
боруджерд	Borujerd
бунди	Bundi
беллинцаго-ломбардо	Bellinzago_Lombardo
алес	Ales,_Sardinia
бирюч	Biryuch
альбозаджа	Albosaggia
бальдиссеро-торинезе	Baldissero_Torinese
антау	Antau
айзенкаппель-феллах	Eisenkappel-Vellach
вейс,хузестан	Veys
асакура,город	Asakura,_Fukuoka
борго-сан-джованни	Borgo_San_Giovanni
бремертон	Bremerton,_Washington
аркуа-полезине	Arquà_Polesine
босконеро	Bosconero
бондоне	Bondone
вилла-санта-лучия	Villa_Santa_Lucia
айзкраукле	Aizkraukle
амравати	Amravati
атеа	Atea,_Zaragoza
бистрица	Bistrița
амвросиевка	Amvrosiivka
бокфлис	Bockfließ
адзумино	Azumino,_Nagano
банана,республика	Banana,_Democratic_Republic_of_the_Congo
брайслин,миннесота	Bricelyn,_Minnesota
аба,город	Aba,_Abia
вильянуэва-де-гумьель	Villanueva_de_Gumiel
беноде	Bénodet
боадилья-де-риосеко	Boadilla_de_Rioseco
вильягатон	Villagatón
баге-мелек	Bagh-e_Malek
боргаро-торинезе	Borgaro_Torinese
виторкьяно	Vitorchiano
волано	Volano
аспангберг-санкт-петер	Aspangberg-Sankt_Peter
вентспилс	Ventspils
бегусарай	Begusarai
вик-ауф-фёр	Wyk_auf_Föhr
вильяманин	Villamanín
банджар	Banjar,_West_Java
бухаралос	Bujaraloz
ацуги	Atsugi,_Kanagawa
брионе	Brione,_Trentino
альбореа	Alborea
бастида-де-досси	Bastida_de'_Dossi
вильясандино	Villasandino
аета	Aieta
виальфре	Vialfrè
бёхаймкирхен	Böheimkirchen
бема	Bema,_Lombardy
алатри	Alatri
атлантида	Atlantis
бергиш-гладбах	Bergisch_Gladbach
аткарск	Atkarsk
бату	Batu_(city)
вольтаджо	Voltaggio
село арагацотн	Aragatsotn_(village)
анцирабе	Antsirabe
бессарабка	Basarabeasca
бад-тибира	Bad-tibira
беромюнстер	Beromünster
арендал	Arendal
вильярлуэнго	Villarluengo
вашим	Washim
баньяско	Bagnasco
блумау-нойрисхоф	Blumau-Neurißhof
бентиу	Bentiu
влоцлавек	Włocławek
блейн,город	Blaine,_Minnesota
барбареско	Barbaresco,_Piedmont
вайсенштайн	Weißenstein
амаюэлас-де-арриба	Amayuelas_de_Arriba
агуатон	Aguatón
аджус	Aggius
вилластеллоне	Villastellone
волонго	Volongo
бой-ривер	Boy_River,_Minnesota
виллетте	Villette,_Piedmont
абиджан	Abidjan
вейхерово	Wejherowo
бирдсли,город	Beardsley,_Minnesota
авка	Awka
вятские поляны	Vyatskiye_Polyany
бояно	Bojano
альтлихтенварт	Altlichtenwarth
борислав,город	Boryslav
арсаго-сеприо	Arsago_Seprio
айнет	Ainet
бизускьо	Bisuschio
брайант,арканзас	Bryant,_Arkansas
айелло-дель-сабато	Aiello_del_Sabato
ахалкалаки	Akhalkalaki
барра-велья	Barra_Velha
биканер	Bikaner
влашим	Vlašim
архангельск	Arkhangelsk
абертами	Abertamy
бароло,город	Barolo,_Piedmont
бертрум,миннесота	Burtrum,_Minnesota
вильярехо-де-монтальбан	Villarejo_de_Montalbán
бисмарк,дакота	Bismarck,_North_Dakota
бадулес	Badules
бадия-калавена	Badia_Calavena
барберино-ди-муджелло	Barberino_di_Mugello
альбайрате	Albairate
веррес	Verrès
валкеакоски	Valkeakoski
алзамай	Alzamay
вельс	Wels
альфос-де-санта-гадеа	Alfoz_de_Santa_Gadea
аспарн-ан-дер-цайя	Asparn_an_der_Zaya
альдеа-эн-кабо	Aldea_en_Cabo
бабаэски	Babaeski
вьесте	Vieste
божи-дар	Boží_Dar
бронделло	Brondello
аллайанс,небраска	Alliance,_Nebraska
битетто	Bitetto
борсо-дель-граппа	Borso_del_Grappa
бад-фигаун	Bad_Vigaun
виетри-суль-маре	Vietri_sul_Mare
бендиго	Bendigo
барлинек	Barlinek
бокситогорск	Boksitogorsk
вилла-дель-боско	Villa_del_Bosco
валлесаккарда	Vallesaccarda
вадул-луй-водэ	Vadul_lui_Vodă
бен,и	Ben,_Iran
адеркла	Aderklaa
буин,иран	Buin_Zahra
асэб	Assab
брец	Brez
боргоне-суза	Borgone_Susa
виньяте	Vignate
бина,город	Bena,_Minnesota
ваццола	Vazzola
бовилле-эрника	Boville_Ernica
ама	Ama,_Aichi
антеринг	Anthering
вальмохадо	Valmojado
амбатулампи	Ambatolampy
артур	Arthur,_Iowa
батерст,город	Bathurst,_New_South_Wales
вольвера	Volvera
бодональ-де-ла-сьерра	Bodonal_de_la_Sierra
барнум,город	Barnum,_Minnesota
битча	Bytča
вашковцы	Vashkivtsi
вильяр-дель-педросо	Villar_del_Pedroso
барчис	Barcis
вилла-гуардия	Villa_Guardia
бонанса	Bonansa
бирюсинск	Biryusinsk
барреа	Barrea
бергантино	Bergantino
белополье	Bilopillia
венёв	Venyov
богданци,город	Bogdanci
вигодарцере	Vigodarzere
вилла-базилика	Villa_Basilica
вау	Wau,_South_Sudan
альфонсине	Alfonsine
аден	Aden
баймак	Baymak
коммуна бренна	Brenna,_Lombardy
асеманабад	Asemanabad
амарилло	Amarillo,_Texas
броквилл	Brockville
валь-реццо	Val_Rezzo
алькала-дель-хукар	Alcalá_del_Júcar
браунтон	Brownton,_Minnesota
вернон-сентер,город	Vernon_Center,_Minnesota
алжир,город	Algiers
арденно	Ardenno
бальсорано	Balsorano
вартманнштеттен	Wartmannstetten
вараподьо	Varapodio
анактувук-пасс	Anaktuvuk_Pass,_Alaska
баран	Baran,_Rajasthan
агуалва-касен	Agualva-Cacém
альоса	Alloza
аньшунь	Anshun
бэйхай	Beihai
бозмен	Bozeman,_Montana
вольсинии,этрурия	Volsinii
винтертур	Winterthur
вильяр-дель-кобо	Villar_del_Cobo
баренго	Barengo
борау	Borau
банджар,индонезия	Banjar,_West_Java
висфлек	Wiesfleck
бовалино	Bovalino
богухвала	Boguchwała
алмора	Almora
вудсток	Woodstock,_Minnesota
вестрено	Vestreno
бабимост	Babimost
бодайбо	Bodaybo
альмуньенте	Almuniente
алжир	Algiers
васильевка,город	Vasylivka
высмежице	Wyśmierzyce
вильялобон	Villalobón
богуслав	Bohuslav
волен,город	Wohlen,_Aargau
аньцю	Anqiu
араусо-де-мьель	Arauzo_de_Miel
бастия-мондови	Bastia_Mondovì
вильяэрмоса,табаско	Villahermosa
вильябаста-де-вальдавия	Villabasta_de_Valdavia
альбидона	Albidona
барселона	Barcelona
белькастро	Belcastro
бедония	Bedonia
вистабелья-де-уэрва	Vistabella_de_Huerva
вани	Vani
версуа	Versoix
верцино	Verzino
аллакакет	Allakaket,_Alaska
березовка,одесская область	Berezivka
беллона,кампания	Bellona,_Campania
берг	Berg,_Lower_Austria
буббио	Bubbio
варпалота	Várpalota
агадир	Agadir
артёмовка	Artemivka
бьюл	Buhl,_Minnesota
бонвичино	Bonvicino
аюэла	Ayuela
айзенштадт	Eisenstadt
адыгейск	Adygeysk
вальдевердеха	Valdeverdeja
аиджал	Aizawl
алькара-ли-фузи	Alcara_li_Fusi
брайслин,город	Bricelyn,_Minnesota
вильяан	Villahán
аки	Aki,_Kōchi
брейнерд,миннесота	Brainerd,_Minnesota
боразджан	Borazjan
валле-ди-маддалони	Valle_di_Maddaloni
айрон-джанкшен	Iron_Junction,_Minnesota
агбор	Agbor
бальбоа,леон	Balboa,_León
висбю	Visby
брафим	Bràfim
багли	Bagley,_Minnesota
баньоло-пьемонте	Bagnolo_Piemonte
боулдер	Boulder,_Colorado
вильяарта	Villaharta
вильяфеличе	Villafeliche
ариньо	Ariño
вальдеканьяс-де-тахо	Valdecañas_de_Tajo
анян	Anyang,_Gyeonggi
аслинг	Assling
априльяно	Aprigliano
букиттинги	Bukittinggi
альтенмаркт-ан-дер-тристинг	Altenmarkt_an_der_Triesting
беллозгуардо	Bellosguardo
амион	Amioun
варшава	Warsaw
августов	Augustów
бьона	Bionaz
вайсвассер,верхняя лужица	Weißwasser
альенту	Aglientu
асикага	Ashikaga,_Tochigi
борго-сан-дальмаццо	Borgo_San_Dalmazzo
аллайанс	Alliance,_Nebraska
венгрув	Węgrów
асеновград	Asenovgrad
аккуаформоза	Acquaformosa
бриндизи	Brindisi
аурангабад,город	Aurangabad,_Maharashtra
баньякавалло	Bagnacavallo
африц-ам-зе	Afritz_am_See
виллальба	Villalba,_Sicily
бриалья	Briaglia
афтон	Afton,_Minnesota
бакус,город	Backus,_Minnesota
белицкое	Bilytske
бялы-бур	Biały_Bór
алмазная	Almazna
амаравати,индия	Amaravati,_Andhra_Pradesh
алварейдо,город	Alvarado,_Minnesota
вилламанья	Villamagna
вильямьель-де-толедо	Villamiel_de_Toledo
берг-им-драуталь	Berg_im_Drautal
вессалико	Vessalico
варацце	Varazze
амрели	Amreli
банари	Banari
антигуэдад	Antigüedad
вольштын	Wolsztyn
аслор	Azlor
авока	Avoca,_Minnesota
амелия	Amelia,_Umbria
брига-новарезе	Briga_Novarese
валь-мазино	Val_Masino
аюд	Aiud
вилья-дель-рей	Villa_del_Rey
атесса	Atessa
альтхайм,австрия	Altheim,_Austria
вербикаро	Verbicaro
браунс-валли,миннесота	Browns_Valley,_Minnesota
баласор	Balasore
ванцаго	Vanzago
абингдон	Abingdon,_Illinois
бараноа	Baranoa
бессемер	Bessemer,_Alabama
анантапур	Anantapur,_Andhra_Pradesh
бордхун	Bord_Khun
анноне-ди-брианца	Annone_di_Brianza
бад-фёслау	Bad_Vöslau
артём	Artyom,_Russia
бади-баситт	Bady_Bassitt
байконур,город	Baikonur
биджу,миннесота	Bejou,_Minnesota
бругг	Brugg
бельско-бяла	Bielsko-Biała
букс	Buchs,_St._Gallen
виль,санкт-галлен	Wil
веттинген	Wettingen
атами	Atami,_Shizuoka
бассет	Bassett,_Nebraska
витербо	Viterbo
вунсокет,род-айленд	Woonsocket,_Rhode_Island
арчизате	Arcisate
антродоко	Antrodoco
бекли,западная виргиния	Beckley,_West_Virginia
акутан,аляска	Akutan,_Alaska
бансвара	Banswara
бенетутти	Benetutti
борка-ди-кадоре	Borca_di_Cadore
бови	Bovey,_Minnesota
бутурлиновка	Buturlinovka
арауко	Arauco,_Chile
венгожево	Węgorzewo
бам	Bam,_Iran
анфо	Anfo
альберта	Alberta,_Minnesota
аккуанегра-кремонезе	Acquanegra_Cremonese
бренна	Brenna,_Lombardy
виноградов	Vynohradiv
бигфорк,город	Bigfork,_Minnesota
вильяверде-дель-рио	Villaverde_del_Río
амбой	Amboy,_Minnesota
барбадильо-дель-меркадо	Barbadillo_del_Mercado
бртнице,город	Brtnice
валле-агрикола	Valle_Agricola
альтенмаркт-бай-санкт-галлен	Altenmarkt_bei_Sankt_Gallen
бруджине	Brugine
белово	Belovo,_Kemerovo_Oblast
алексин,город	Aleksin
бизамберг	Bisamberg
брокен-боу	Broken_Bow,_Nebraska
визано	Visano
ариэль,город	Ariel_(city)
вюрмла	Würmla
баштанка	Bashtanka
вишков	Vyškov
аббатеджо	Abbateggio
броктон,массачусетс	Brockton,_Massachusetts
бельмонте-дель-саннио	Belmonte_del_Sannio
ау-ам-лайтаберге	Au_am_Leithaberge
берат	Berat
вилланова-д’альбенга	Villanova_d'Albenga
балдео	Baldeo
баньо-ди-романья	Bagno_di_Romagna
буэнависта-де-вальдавия	Buenavista_de_Valdavia
вудбери	Woodbury,_Minnesota
боттино,дакота	Bottineau,_North_Dakota
анбарабад	Anbarabad
бойморто	Boimorto
бурчеи	Burcei
ансан	Ansan
вальхункера	Valjunquera
брун-ам-гебирге	Brunn_am_Gebirge
боргомале	Borgomale
боронедду	Boroneddu
вила-нова-ди-гая	Vila_Nova_de_Gaia
амбуситра	Ambositra
ардон	Ardón
блекуа-и-торрес	Blecua_y_Torres
вескована	Vescovana
айония	Ionia,_Michigan
биндура	Bindura
вас,город	Vas,_Veneto
биатрис,небраска	Beatrice,_Nebraska
биль,город	Biel/Bienne
вело-веронезе	Velo_Veronese
бидзароне	Bizzarone
банджарбару	Banjarbaru
акмяне	Akmenė
вильяльба-де-гуардо	Villalba_de_Guardo
брукингз,южная дакота	Brookings,_South_Dakota
веньяно	Veniano
белур	Belur
буска	Busca
вигиццоло-д’эсте	Vighizzolo_d'Este
балаклея	Balakliia
альфамен	Alfamén
вулф-лейк,город	Wolf_Lake,_Minnesota
бильче-золотое,район	Bilche_Zolote
бемпур	Bampur
азамгарх	Azamgarh
вагна	Wagna
бисби	Bisbee,_Arizona
виксберг	Vicksburg,_Mississippi
братислава	Bratislava
вальмакка	Valmacca
аччеттура	Accettura
висла	Wisła
вилла-фаральди	Villa_Faraldi
аркуата-дель-тронто	Arquata_del_Tronto
ахалцихе	Akhaltsikhe
бохня	Bochnia
аниньон	Aniñón
альпандейре	Alpandeire,_Spain
амаркантак	Amarkantak
баскапе	Bascapè
батман	Batman,_Turkey
базеличе	Baselice
бунготакада	Bungotakada,_Ōita
вайден-бай-рехниц	Weiden_bei_Rechnitz
арена-по	Arena_Po
альболоте	Albolote
веста,город	Vesta,_Minnesota
аруша,город	Arusha
барлетта	Barletta
анджари	Angiari
веркураго	Vercurago
варта	Warta,_Poland
амштеттен	Amstetten,_Lower_Austria
вальделугерос	Valdelugueros
баньон	Bañón
брига-альта	Briga_Alta
альхартсберг	Allhartsberg
альмехихар	Almegíjar
бекингем,техас	Buckingham,_Richardson,_Texas
вайсенкирхен-ин-дер-вахау	Weißenkirchen_in_der_Wachau
банак	Bank,_Iran
аверса	Aversa
виллага	Villaga
вильяеррерос	Villaherreros
бельви,италия	Belvì
апатиты	Apatity
бергхайм	Bergheim,_Austria
виколунго	Vicolungo
вальс-зиценхайм	Wals-Siezenheim
вилла-лагарина	Villa_Lagarina
ачи-бонаккорси	Aci_Bonaccorsi
бад-гроспертхольц	Bad_Großpertholz
брумфилд	Broomfield,_Colorado
асахи,тиба	Asahi,_Chiba
аки,город	Aki,_Kōchi
берхампур	Berhampur
вильяфранка-дель-кампо	Villafranca_del_Campo
боргофранко-суль-по	Borgofranco_sul_Po
альфьяно-натта	Alfiano_Natta
байрон,город	Byron,_Minnesota
бриджпорт,коннектикут	Bridgeport,_Connecticut
астара	Astara,_Iran
вильяэскуса-де-роа	Villaescusa_de_Roa
арсита	Arsita
батам	Batam
алтеймер	Altheimer,_Arkansas
брузимпьяно	Brusimpiano
вайонт	Vajont
вольбуж	Wolbórz
баэльс	Baélls
балнеариу-камбориу	Balneário_Camboriú
ванг,австрия	Wang,_Austria
вальдастико	Valdastico
вавр,бельгия	Wavre
ансон	Anseong
адма	Admah
вецца-д’ольо	Vezza_d'Oglio
буриаско	Buriasco
бонавиго	Bonavigo
варци	Varzi
бисби,аризона	Bisbee,_Arizona
бяла	Biała_Prudnicka
айхграбен	Eichgraben
бедиани	Bediani
коммуна вильяррика	Villarrica,_Chile
барадили	Baradili
братск	Bratsk
бардолино	Bardolino
вильель	Villel
бинаго	Binago
бад-радкерсбург	Bad_Radkersburg
болд-ноб	Bald_Knob,_Arkansas
акваспарта	Acquasparta
вайано-кремаско	Vaiano_Cremasco
высоке-мазовецке	Wysokie_Mazowieckie
азов	Azov
альмоарин	Almoharín
барабинск	Barabinsk
вигольцоне	Vigolzone
ангвиллара-сабация	Anguillara_Sabazia
вильядемор-де-ла-вега	Villademor_de_la_Vega
вальджойе	Valgioie
вилланова-канавезе	Villanova_Canavese
арчевиа	Arcevia
бейт-шеан	Beit_She'an
вриндавана	Vrindavan
америка	América,_Tamaulipas
бошруйе	Boshruyeh
вихоревка	Vikhorevka
вильхельмсбург	Wilhelmsburg,_Austria
вилларбассе	Villarbasse
берегуардо	Bereguardo
акиак	Akiak,_Alaska
алтус,арканзас	Altus,_Arkansas
босоо	Bozoó
браке	Brake,_Lower_Saxony
альбарето	Albareto
борго-велино	Borgo_Velino
бельджирате	Belgirate
антанифутси	Antanifotsy
вадодара	Vadodara
альбезе-кон-кассано	Albese_con_Cassano
аккумоли	Accumoli
ведано-олона	Vedano_Olona
вилла-бискосси	Villa_Biscossi
бакнер,арканзас	Buckner,_Arkansas
биски	Biscay,_Minnesota
верт	Weert
аксу,павлодарская область	Aksu,_Kazakhstan
вильялуэнга-де-ла-вега	Villaluenga_de_la_Vega
аш	Aš
вейпрти	Vejprty
буксар,город	Buxar
бариле	Barile
алпайн,техас	Alpine,_Texas
батон-руж	Baton_Rouge,_Louisiana
белиз,город	Belize_City
боготол	Bogotol
альмуния-де-сан-хуан	Almunia_de_San_Juan
батуми	Batumi
браунсдейл,город	Brownsdale,_Minnesota
виндхук	Windhoek
ванцоне-кон-сан-карло	Vanzone_con_San_Carlo
боттидда	Bottidda
бербегаль	Berbegal
вае	Vaie
валсад	Valsad
альтендорф,австрия	Altendorf,_Austria
ава	Awa,_Tokushima
аппер-калскаг	Upper_Kalskag,_Alaska
бруклин-парк,миннесота	Brooklyn_Park,_Minnesota
бильдайн	Bildein
бекер	Becker,_Minnesota
бежецк	Bezhetsk
бозаро	Bosaro
вроутек	Vroutek
бреньяно	Bregnano
асахи	Asahi,_Chiba
вильяльба-де-лос-баррос	Villalba_de_los_Barros
вальмадрера	Valmadrera
вальвестино	Valvestino
вильодриго	Villodrigo
блуминг-прери,миннесота	Blooming_Prairie,_Minnesota
вилладозе	Villadose
ачи-сант-антонио	Aci_Sant'Antonio
вильц	Wiltz
адрия	Adria
белла	Bella,_Basilicata
веккьяно	Vecchiano
баран,город	Baran,_Rajasthan
бытом-оджаньский	Bytom_Odrzański
абастумани	Abastumani
ачерно	Acerno
айодхья	Ayodhya
валье-дель-салаби	Valle_del_Zalabí
бейт-шемеш	Beit_Shemesh
анджера	Angera
алештар	Aleshtar
бургос,сардиния	Burgos,_Sardinia
абзам	Absam
арида	Arida,_Wakayama
бен,чехармехаль и бахтиария	Ben,_Iran
вальдерруэда	Valderrueda
ангул	Angul
барвенково	Barvinkove
башка	Baška_(Frýdek-Místek_District)
бранч	Branch,_Arkansas
врангель,аляска	Wrangell,_Alaska
арканзас-сити,арканзас	Arkansas_City,_Arkansas
амброз,северная дакота	Ambrose,_North_Dakota
брустер,город	Brewster,_Minnesota
виксберг,миссисипи	Vicksburg,_Mississippi
брикеразио	Bricherasio
амлах	Amlach
авеццано	Avezzano
аламедилья	Alamedilla
бьентина	Bientina
баумгартен	Baumgarten,_Burgenland
вако	Wakō,_Saitama
борзна	Borzna
басконсильос-дель-тосо	Basconcillos_del_Tozo
вокка	Vocca
васильков	Vasylkiv
бассано-дель-граппа	Bassano_del_Grappa
барлинг,арканзас	Barling,_Arkansas
аккра	Accra
араусо-де-торре	Arauzo_de_Torre
брекстад	Brekstad
асьют	Asyut
боторрита	Botorrita
биг-лейк,город	Big_Lake,_Minnesota
бибьяна	Bibiana,_Piedmont
брэдбери,калифорния	Bradbury,_California
вальданьо	Valdagno
асака	Asaka,_Saitama
абпахш	Ab_Pakhsh
брезно	Brezno
владимир,город	Vladimir
артёмовский	Artyomovsky,_Sverdlovsk_Oblast
вильяфранка-де-кордова	Villafranca_de_Córdoba
вильямерьель	Villameriel
винцальо	Vinzaglio
бивер-бей	Beaver_Bay,_Minnesota
бернуй-сапардьель	Bernuy-Zapardiel
вилла-бартоломея	Villa_Bartolomea
