буэнос-айрес,аргентина	Buenos_Aires
нуэва-лоха,эквадор	Nueva_Loja
поджорсини,италия	Poggiorsini
ойос,испания	Hoyos
престине,италия	Prestine
номбела,испания	Nombela
орджано,италия	Orgiano
помбия,италия	Pombia
навадихос,испания	Navadijos
обяляй,литва	Obeliai
орначуэлос,испания	Hornachuelos
предоза,италия	Predosa
пётркув-куявский,польша	Piotrków_Kujawski
перзенбойг-готсдорф,австрия	Persenbeug-Gottsdorf
обжицко,польша	Obrzycko
понт-канавезе,италия	Pont-Canavese
палдиски,эстония	Paldiski
обехо,испания	Obejo
простеёв,чехия	Prostějov
пинос-пуэнте,испания	Pinos_Puente
порту-насиунал,бразилия	Porto_Nacional
ореро,италия	Orero
озини,италия	Osini
пьовене-роккетте,италия	Piovene_Rocchette
парос,греция	Paros
новы-томысль,польша	Nowy_Tomyśl
новоульяновск,россия,ульяновская область	Novoulyanovsk
палермо,италия	Palermo
паредес-де-нава,испания	Paredes_de_Nava
песколанчано,италия	Pescolanciano
пьомбино-дезе,италия	Piombino_Dese
норт-чарлстон,соединённые штаты америки,сша,америка	North_Charleston,_South_Carolina
поллена-троккья,италия	Pollena_Trocchia
пиндун,китайская республика	Pingtung_City
падерна,италия	Paderna
преоне,италия	Preone
пьерфон,канада	Pierrefonds,_Quebec
нарым,россия,томская область	Narym
партидо-де-ла-сьерра-эн-тобалина,испания	Partido_de_la_Sierra_en_Tobalina
ойос-дель-кольядо,испания	Hoyos_del_Collado
нешер,израиль	Nesher
порт-толбот,уэльс	Port_Talbot
пьеве-а-ниеволе,италия	Pieve_a_Nievole
освенцим,город,польша	Oświęcim
оцьери,италия	Ozieri
презенцано,италия	Presenzano
ормигос,испания	Hormigos
навалоса,испания	Navalosa
озимо,италия	Osimo
плетерница,	Pleternica
одзу,город,	Ōzu,_Ehime
новозыбков,россия	Novozybkov
пильо,италия	Piglio
писек,чехия	Písek
проктор,город,миннесота,соединённые штаты америки,сша,америка	Proctor,_Minnesota
петторанелло-дель-молизе,италия	Pettoranello_del_Molise
пьедимонте-этнео,италия	Piedimonte_Etneo
петриня,хорватия	Petrinja
пон-сен-мартен,италия	Pont-Saint-Martin,_Aosta_Valley
остроруг,польша	Ostroróg
приоло-гаргалло,италия	Priolo_Gargallo
поворино,россия,воронежская область	Povorino
петритоли,италия	Petritoli
полезелла,италия	Polesella
оджона-кон-санто-стефано,италия	Oggiona_con_Santo_Stefano
озмате,италия	Osmate
пераледа-де-сан-роман,испания	Peraleda_de_San_Román
паго-дель-валло-ди-лауро,италия	Pago_del_Vallo_di_Lauro
пайтоне,италия	Paitone
перальтилья,испания	Peraltilla
пламервилл,арканзас,соединённые штаты америки,сша,америка	Plumerville,_Arkansas
пильзно,польша	Pilzno
поусат,город,камбоджа	Pursat
неттуно,италия	Nettuno
пимонте,италия	Pimonte
ольчененго,италия	Olcenengo
орта-ди-ателла,италия	Orta_di_Atella
нью-ричленд,город,миннесота,соединённые штаты америки,сша,америка	New_Richland,_Minnesota
натори,япония	Natori,_Miyagi
овиндоли,италия	Ovindoli
ойас,италия	Oyace
посуэль-дель-кампо,испания	Pozuel_del_Campo
озаль,	Ozalj
н’далатандо,ангола	N'dalatando
озило,италия	Osilo
омати,город,	Ōmachi,_Nagano
патерсон,нью-джерси,соединённые штаты америки,сша,америка	Paterson,_New_Jersey
олава,польша	Oława
пегеринос,испания	Peguerinos
пальмоли,италия	Palmoli
норт-лас-вегас,соединённые штаты америки,сша,америка	North_Las_Vegas,_Nevada
ольвена,испания	Olvena
палаццоло-верчеллезе,италия	Palazzolo_Vercellese
пьеве-ди-ченто,италия	Pieve_di_Cento
пердасдефогу,италия	Perdasdefogu
пуэбла-де-альбортон,испания	Puebla_de_Albortón
печоры,россия,псковская область	Pechory
онголе,индия	Ongole
ньямунда,бразилия	Nhamundá
оберхаузен,германия	Oberhausen
прокопьевск,россия,кемеровская область	Prokopyevsk
пертузио,италия	Pertusio
пелагичево,босния и герцеговина	Pelagićevo
ольшина,польша	Olszyna
неккенмаркт,австрия	Neckenmarkt
прато-карнико,италия	Prato_Carnico
пуэбла-де-сарагоса,мексика	Puebla,_Puebla
орнета,польша	Orneta
пратовеккьо,италия	Pratovecchio
павловский посад,россия,московская область	Pavlovsky_Posad
парамарибо,суринам	Paramaribo
нейпервилл,	Naperville,_Illinois
прато,италия	Prato
нью-джермани,город,миннесота,соединённые штаты америки,сша,америка	New_Germany,_Minnesota
норт-литл-рок,соединённые штаты америки,сша,америка	North_Little_Rock,_Arkansas
отрадный,россия,самарская область	Otradny,_Samara_Oblast
норрчёпинг,швеция	Norrköping
паякумбух,индонезия	Payakumbuh
палмер,аляска,соединённые штаты америки,сша,америка	Palmer,_Alaska
пайльяко,чили	Paillaco
навальмораль,испания	Navalmoral
наваморкуэнде,испания	Navamorcuende
орлова,город,чехия	Orlová
пайлитас,колумбия	Pailitas
олеа-де-боэдо,испания	Olea_de_Boedo
пуэртолас,испания	Puértolas,_Aragon
перреро,италия	Perrero
нове-скальмежице,польша	Nowe_Skalmierzyce
олива-де-ла-фронтера,испания	Oliva_de_la_Frontera
понтелонго,италия	Pontelongo
немея,	Nemea
пернерсдорф,австрия	Pernersdorf
питтсбург,соединённые штаты америки,сша,америка	Pittsburgh
порт-оф-спейн,тринидад и тобаго	Port_of_Spain
пауларо,италия	Paularo
ноччано,италия	Nocciano
пуэрто-торо,чили	Puerto_Toro
остбург,нидерланды	Oostburg
нетолице,чехия	Netolice
пиз,город,миннесота,соединённые штаты америки,сша,америка	Pease,_Minnesota
онда,толима,толима	Honda,_Tolima
попасная,город,украина	Popasna
орнавассо,италия	Ornavasso
пухенштубен,австрия	Puchenstuben
оливия,город,миннесота,соединённые штаты америки,сша,америка	Olivia,_Minnesota
пярну,эстония	Pärnu
полярные зори,россия,мурманская область	Polyarnye_Zori
наровал,пакистан	Narowal
пальма,город,испания	Palma,_Majorca
оггау-ам-нойзидлер-зе,австрия	Oggau_am_Neusiedler_See
паласуэлос-де-муньо,испания	Palazuelos_de_Muñó
нонаспе,испания	Nonaspe
нуиксут,соединённые штаты америки,сша,америка	Nuiqsut,_Alaska
ортона-деи-марси,италия	Ortona_dei_Marsi
навалькан,испания	Navalcán
нутодден,	Notodden
обер-графендорф,австрия	Ober-Grafendorf
наггар,индия	Naggar
ницца-ди-сицилия,италия	Nizza_di_Sicilia
пудож,россия,республика карелия,карелия	Pudozh
ногароле-рокка,италия	Nogarole_Rocca
портахе,испания	Portaje
неймеген,нидерланды	Nijmegen
палуцца,италия	Paluzza
норакерт,гехаркуник,армения	Norakert,_Gegharkunik
оспитале-ди-кадоре,италия	Ospitale_di_Cadore
порт-гибсон,соединённые штаты америки,сша,америка	Port_Gibson,_Mississippi
орозеи,италия	Orosei
обервальтерсдорф,австрия	Oberwaltersdorf
приоро,	Prioro
орикола,италия	Oricola
порт-харкорт,нигерия	Port_Harcourt
палм-дезерт,соединённые штаты америки,сша,америка	Palm_Desert,_California
олови,чехия,чехия	Oloví
нагарлагун,индия	Naharlagun
польпенацце-дель-гарда,	Polpenazze_del_Garda
полонгера,италия	Polonghera
пфафштеттен,австрия	Pfaffstätten
натхдвара,индия	Nathdwara
петршвальд,чехия	Petřvald_(Karviná_District)
порт-морсби,папуа — новая гвинея	Port_Moresby
ньюбург,нью-йорк,	Newburgh_(city,_New_York
осю,япония	Ōshū,_Iwate
порто-толле,италия	Porto_Tolle
пинос-хениль,испания	Pinos_Genil
поста,коммуна,италия	Posta,_Lazio
пури,индия	Puri
нидри,греция	Nydri
польяно-миланезе,италия	Pogliano_Milanese
нью-брансуик,нью-джерси,соединённые штаты америки,сша,америка	New_Brunswick,_New_Jersey
печчоли,италия	Peccioli
ортелле,италия	Ortelle
пласи,чехия,чехия	Plasy
пьеве-тезино,италия	Pieve_Tesino
нетешин,украина	Netishyn
полянув,польша	Polanów
пьянтедо,италия	Piantedo
пршимда,чехия	Přimda
ояпоки,бразилия	Oiapoque
нагаур,индия	Nagaur
нефтекумск,россия,ставропольский край	Neftekumsk
помарико,италия	Pomarico
пинилья-де-лос-барруэкос,испания	Pinilla_de_los_Barruecos
пшецлав,город,польша	Przecław
портоканноне,италия	Portocannone
осака,	Osaka
нове-страшеци,чехия	Nové_Strašecí
плешев,польша	Pleszew
нойленгбах,австрия	Neulengbach
питтен,австрия	Pitten
оливола,италия	Olivola
пеканбару,индонезия	Pekanbaru
понтремоли,италия	Pontremoli
орельяна-ла-вьеха,испания	Orellana_la_Vieja
поленьино,испания	Poleñino
пуэбло-бельо,колумбия	Pueblo_Bello
нумадзу,япония	Numazu,_Shizuoka
прово,соединённые штаты америки,сша,америка	Provo,_Utah
новогард,польша	Nowogard
парсиан,иран	Parsian,_Iran
нумеа,франция	Nouméa
падерно-понкьелли,италия	Paderno_Ponchielli
плаканика,италия	Placanica
понта-гроса,	Ponta_Grossa
николаевск,область,волгоградская область,россия,волгоградская область	Nikolayevsk
прадель-де-ла-тешета,приорат (комарка)	Pradell_de_la_Teixeta
они,город,грузия	Oni,_Georgia
остшешув,польша	Ostrzeszów
пизмо бич,соединённые штаты америки,сша,америка	Pismo_Beach,_California
прашка,польша	Praszka
осси,италия	Ossi,_Sardinia
портальбера,италия	Portalbera
ольштынек,польша	Olsztynek
пилава-гурна,польша	Piława_Górna
пьюбега,италия	Piubega
оре,франция,франция	Auray
наньчан,китайская народная республика,китай,кнр	Nanchang
пуэйо-де-санта-крус,испания	Pueyo_de_Santa_Cruz
ночилья,италия	Nociglia
наррильос-дель-ребольяр,испания	Narrillos_del_Rebollar
ниппур,	Nippur
пинду,китайская народная республика,китай,кнр	Pingdu
падерно-дуньяно,италия	Paderno_Dugnano
пэрленд,	Pearland,_Texas
пизониано,италия	Pisoniano
поведа,испания	Poveda
приньяно-сулла-секкья,италия	Prignano_sulla_Secchia
оран,алжир	Oran
пальмариджи,италия	Palmariggi
поллика,италия	Pollica
пласенсия-де-халон,испания	Plasencia_de_Jalón
оспедалетто-лодиджано,италия	Ospedaletto_Lodigiano
педроса-дель-принсипе,испания	Pedrosa_del_Príncipe
омарска,босния и герцеговина	Omarska
оленегорск,россия,мурманская область	Olenegorsk,_Murmansk_Oblast
нови-йичин,чехия	Nový_Jičín
одаленго-гранде,италия	Odalengo_Grande
нойдорф-бай-штац,австрия	Neudorf_bei_Staatz
панкалпинанг,индонезия	Pangkal_Pinang
порбандар,индия	Porbandar
пеллеццано,италия	Pellezzano
пьяченца-д’адидже,италия	Piacenza_d'Adige
нойнкирх,швейцария	Neunkirch
порт-пири,австралия	Port_Pirie
офра,	Ofra
небреда,испания	Nebreda
навакесера,испания	Navaquesera
прадамано,италия	Pradamano
песке,италия	Pesche
пекалонган,индонезия	Pekalongan
ном,аляска,соединённые штаты америки,сша,америка	Nome,_Alaska
паньякко,италия	Pagnacco
проховице,польша	Prochowice
ормсби,город,миннесота,соединённые штаты америки,сша,америка	Ormsby,_Minnesota
помеция,италия	Pomezia
новочебоксарск,россия,чувашия	Novocheboksarsk
наварревиска,испания	Navarrevisca
праростино,италия	Prarostino
наррос-де-сальдуэнья,испания	Narros_de_Saldueña
пшасныш,польша	Przasnysz
оханск,россия,пермский край	Okhansk
ортачезус,италия	Ortacesus
пурухоса,испания	Purujosa
николаевск-на-амуре,россия,хабаровский край	Nikolayevsk-on-Amur
пуэрто-монт,чили	Puerto_Montt
пезинок,словакия	Pezinok
поликар,испания	Polícar
помароло,италия	Pomarolo
новый роздол,украина	Novyi_Rozdil
нардодипаче,италия	Nardodipace
пивероне,италия	Piverone
николе,канада	Nicolet,_Quebec
пхаджу,республика корея,корея,южная корея	Paju
нордхаузен,германия	Nordhausen
ноксвилл,арканзас,соединённые штаты америки,сша,америка	Knoxville,_Arkansas
пельплин,польша	Pelplin
педеробба,италия	Pederobba
пино-торинезе,италия	Pino_Torinese
ойум,	Oium
новороссийск,россия,краснодарский край	Novorossiysk
нова-горица,словения	Nova_Gorica
петриоло,италия	Petriolo
петценкирхен,австрия	Petzenkirchen
новара-ди-сицилия,италия	Novara_di_Sicilia
платания,италия	Platania
нова-андрадина,бразилия	Nova_Andradina
напаскиак,аляска,	Napaskiak,_Alaska
ожеше,польша	Orzesze
пхохан,республика корея,корея,южная корея	Pohang
нейриз,иран	Neyriz
острог,город,украина	Ostroh
педивильяно,италия	Pedivigliano
николлет,город,миннесота,соединённые штаты америки,сша,америка	Nicollet,_Minnesota
наруто,город,япония	Naruto,_Tokushima
нурвик,	Noorvik,_Alaska
посуэло-де-арагон,испания	Pozuelo_de_Aragón
пьянецце,италия	Pianezze
пистиччи,италия	Pisticci
падерньоне,италия	Padergnone
пьетрамелара,италия	Pietramelara
помпонеско,италия	Pomponesco
пертоза,италия	Pertosa
путтгарден,	Puttgarden
оттертейл,город,миннесота,соединённые штаты америки,сша,америка	Ottertail,_Minnesota
перароло-ди-кадоре,италия	Perarolo_di_Cadore
падула,италия	Padula
премариакко,италия	Premariacco
ор-йехуда,израиль	Or_Yehuda
пястув,польша	Piastów
пысковице,польша	Pyskowice
патханкот,индия	Pathankot
ода,город,	Ōda,_Shimane
поста-фибрено,италия	Posta_Fibreno
палестрина,италия	Palestrina
пуна,индия	Pune
паладжано,италия	Palagiano
новоалександровск,россия,ставропольский край	Novoalexandrovsk
проттес,австрия	Prottes
перальта-де-алькофеа,испания	Peralta_de_Alcofea
нове-бжеско,город,польша	Nowe_Brzesko
оллерсдорф,бургенланд,австрия	Ollersdorf_im_Burgenland
нижневартовск,россия,ханты-мансийский автономный округ — югра	Nizhnevartovsk
нисиноомоте,япония	Nishinoomote,_Kagoshima
падилья-де-арриба,испания	Padilla_de_Arriba
пизано,новара,италия	Pisano,_Piedmont
потенца,италия	Potenza
новы-тарг,польша	Nowy_Targ
нушабад,иран	Nushabad
поддембице,польша	Poddębice
оводда,италия	Ovodda
ноалехо,испания	Noalejo
наваконсехо,испания	Navaconcejo
оратино,италия	Oratino
нихоммацу,	Nihonmatsu,_Fukushima
пентоне,италия	Pentone
номбревилья,испания	Nombrevilla
новотроицк,россия,оренбургская область	Novotroitsk
понте-ницца,италия	Ponte_Nizza
ницца-монферрато,италия	Nizza_Monferrato
паркано,	Parkano
нимис,италия	Nimis
пиньола,италия	Pignola
наньян,китайская народная республика,китай,кнр	Nanyang,_Henan
побласьон-де-арройо,испания	Población_de_Arroyo
пойсдорф,австрия	Poysdorf
понятова,польша	Poniatowa
пандосия,эпир,	Pandosia_(Epirus)
оссаго-лодиджано,италия	Ossago_Lodigiano
норт-йорк,канада	North_York
нода,город,япония	Noda,_Chiba
порто-черезио,италия	Porto_Ceresio
новогродовка,украина	Novohrodivka
пинето,италия	Pineto
паласьос-де-риописуэрга,испания	Palacios_de_Riopisuerga
оливейра-ду-байру,	Oliveira_do_Bairro
паспардо,италия	Paspardo
перхем,город,миннесота,соединённые штаты америки,сша,америка	Perham,_Minnesota
пуэрто-кабельо,венесуэла	Puerto_Cabello
оссана,италия	Ossana
пересвет,город,россия,московская область	Peresvet
османабад,индия	Osmanabad
пшемысль,польша	Przemyśl
порён,республика корея,корея,южная корея	Boryeong
портичи,италия	Portici
нанто,италия,италия	Nanto,_Veneto
ортонвилл,город,миннесота,соединённые штаты америки,сша,америка	Ortonville,_Minnesota
новы-сонч,польша	Nowy_Sącz
нумана,италия	Numana
пневы,польша	Pniewy
осорнильо,испания	Osornillo
оссио,город,миннесота,соединённые штаты америки,сша,америка	Osseo,_Minnesota
нова-руда,польша	Nowa_Ruda
пьяно-ди-сорренто,италия	Piano_di_Sorrento
паско,вашингтон,соединённые штаты америки,сша,америка	Pasco,_Washington
наджу,республика корея,корея,южная корея	Naju
нова-градишка,хорватия	Nova_Gradiška
пауэрс-лейк,дакота,северная дакота,соединённые штаты америки,сша,америка	Powers_Lake,_North_Dakota
перечин,украина	Perechyn
пескантина,италия	Pescantina
порто-адзурро,италия	Porto_Azzurro
педроса-де-рио-урбель,испания	Pedrosa_de_Río_Úrbel
пршибор,чехия	Příbor
оборники-слёнске,польша	Oborniki_Śląskie
нёч-им-гайльталь,австрия	Nötsch_im_Gailtal
нейве,италия	Neive
нове-място-любавске,польша	Nowe_Miasto_Lubawskie
пуэбла-де-дон-франсиско,испания	El_Valle_de_Altomira
поджо-ренатико,италия	Poggio_Renatico
пьядже,италия	Piagge
нордштерн,	Nordstern
перальта-де-каласанс,испания	Peralta_de_Calasanz
орио-литта,италия	Orio_Litta
пайербах,австрия	Payerbach
прудник,польша	Prudnik
прабуты,польша	Prabuty
пюхяярви,город,	Pyhäjärvi
пескьера-борромео,италия	Peschiera_Borromeo
поньяна-ларио,италия	Pognana_Lario
палестро,италия	Palestro
оруне,италия	Orune
принсбург,город,миннесота,соединённые штаты америки,сша,америка	Prinsburg,_Minnesota
ньярдо,италия	Niardo
пайн-спрингс,город,миннесота,соединённые штаты америки,сша,америка	Pine_Springs,_Minnesota
одзенья,италия	Ozegna
пьенца,италия	Pienza
прадилья-де-эбро,испания	Pradilla_de_Ebro
олинф,город,	Olynthus
неполомице,польша	Niepołomice
поджо-сан-лоренцо,италия	Poggio_San_Lorenzo
нейроне,италия	Neirone
ористано,италия	Oristano
орвинио,италия	Orvinio
посада-де-вальдеон,испания	Posada_de_Valdeón
пуэбла-дель-сальвадор,испания	Puebla_del_Salvador
оффанья,италия	Offagna
пеша,италия	Pescia
пыжице,польша	Pyrzyce
парндорф,австрия	Parndorf
наррос-дель-пуэрто,испания	Narros_del_Puerto
носиро,япония	Noshiro,_Akita
оберн-хилс,соединённые штаты америки,сша,америка	Auburn_Hills,_Michigan
новильо,италия	Noviglio
наве-сан-рокко,италия	Nave_San_Rocco
нортроп,город,миннесота,соединённые штаты америки,сша,америка	Northrop,_Minnesota
павия-ди-удине,италия	Pavia_di_Udine
пальмиано,италия	Palmiano
оттерталь,австрия	Otterthal
пестум,	Paestum
перего,италия	Perego
оваро,италия	Ovaro
немшова,словакия	Nemšová
пёттельсдорф,австрия	Pöttelsdorf
орсаго,италия	Orsago
нумата,город,япония	Numata,_Gunma
паскуалькобо,испания	Pascualcobo
ногинск,россия,московская область	Noginsk
ойорредондо,испания	Hoyorredondo
ольменета,италия	Olmeneta
поджофьорито,италия	Poggiofiorito
пушкин,город,россия,санкт-петербург	Pushkin,_Saint_Petersburg
престон,город,миннесота,соединённые штаты америки,сша,америка	Preston,_Minnesota
нижнеудинск,россия,иркутская область	Nizhneudinsk
пьятеда,италия	Piateda
падули,италия	Paduli
нарва-йыэсуу,эстония	Narva-Jõesuu
оябэ,	Oyabe,_Toyama
невшатель,швейцария	Neuchâtel
пуйаллап,соединённые штаты америки,сша,америка	Puyallup,_Washington
опи,италия	Opi,_Abruzzo
пакси,греция	Paxi
невилье,италия	Neviglie
пайлот-стейшен,аляска,	Pilot_Station,_Alaska
пуэрто-ла-крус,венесуэла	Puerto_la_Cruz
насельск,польша	Nasielsk
посондон,испания	Pozondón
порретта-терме,италия	Porretta_Terme
нешава,польша	Nieszawa
пршибислав,чехия	Přibyslav
пурния,индия	Purnia
ортеццано,италия	Ortezzano
нардо,италия	Nardò
ньивпорт,бельгия	Nieuwpoort,_Belgium
острув-любельский,польша	Ostrów_Lubelski
пухберг-ам-шнеберг,австрия	Puchberg_am_Schneeberg
пилибхит,индия	Pilibhit
поццолеоне,италия	Pozzoleone
стильяно,италия	Stigliano
унтерзен,швейцария	Unterseen
сантопадре,италия	Santopadre
ритто	Rittō,_Shiga
терно-д’изола,италия	Terno_d'Isola
сан-поло-дел-кавальери,италия	San_Polo_dei_Cavalieri
уццано,италия	Uzzano
торрелапаха,испания	Torrelapaja
теночтитлан	Tenochtitlan
реншолл,город,миннесота,соединённые штаты америки,сша,америка	Wrenshall,_Minnesota
сьон,швейцария	Sion,_Switzerland
торренте-де-синка,испания	Torrente_de_Cinca
самастипур,индия	Samastipur
селевкия	Seleucia
скалетта-дзанклеа,италия	Scaletta_Zanclea
раджгир,индия	Rajgir
сольяно-аль-рубиконе,италия	Sogliano_al_Rubicone
саяма	Sayama,_Saitama
радомско,польша	Radomsko
секлавин,испания	Ceclavín
сан-пьетро-ди-кадоре,италия	San_Pietro_di_Cadore
сан-диего,соединённые штаты америки,сша,америка	San_Diego
трутнов,чехия	Trutnov
тамра,израиль	Tamra
санд-пойнт,аляска	Sand_Point,_Alaska
райхенау-ан-дер-ракс,австрия	Reichenau_an_der_Rax
роана,италия	Roana
сенеге,италия	Seneghe
рота-грека,италия	Rota_Greca
роккафранка,италия	Roccafranca
сантерамо-ин-колле,италия	Santeramo_in_Colle
тырнэвени,румыния	Târnăveni
уцнах,швейцария	Uznach
риве,италия	Rive,_Piedmont
рубежное,украина	Rubizhne
сеццу	Settsu,_Osaka
тонкава,оклахома,соединённые штаты америки,сша,америка	Tonkawa,_Oklahoma
роккабьянка,италия	Roccabianca
тинта,город,миннесота,соединённые штаты америки,сша,америка	Tintah,_Minnesota
салудечо,италия	Saludecio
спесса,италия	Spessa
спринг-валли,город,миннесота,соединённые штаты америки,сша,америка	Spring_Valley,_Minnesota
рудки,украина	Rudky
стрый,город,украина	Stryi
сенорби,италия	Senorbì
уайалла,австралия	Whyalla
стрезимировци,болгария	Strezimirovci
рамат-ха-шарон,израиль	Ramat_HaSharon
сагрон-мис,италия	Sagron_Mis
угерски-брод,чехия	Uherský_Brod
риолобос,испания	Riolobos
техеда-де-тьетар,испания	Tejeda_de_Tiétar
струмица,республика македония	Strumica
радзынь-хелминьски,польша	Radzyń_Chełmiński
тиченго,италия	Ticengo
скурцоленго,италия	Scurzolengo
тумстон,соединённые штаты америки,сша,америка	Tombstone,_Arizona
сарего,италия	Sarego
сассетта,город,италия	Sassetta,_Tuscany
сан-джорджо-делле-пертиче,италия	San_Giorgio_delle_Pertiche
санта-роза,калифорния,соединённые штаты америки,сша,америка	Santa_Rosa,_California
терравеккья,италия	Terravecchia
солана-дель-пино	Solana_del_Pino
светлодарск	Svitlodarsk
стаццема,италия	Stazzema
санкт-андре,каринтия,австрия	Sankt_Andrä
сифорт,город,миннесота,соединённые штаты америки,сша,америка	Seaforth,_Minnesota
сельма,алабама,соединённые штаты америки,сша,америка	Selma,_Alabama
раухварт,австрия	Rauchwart
сидарвилл,арканзас,соединённые штаты америки,сша,америка	Cedarville,_Arkansas
скордия,италия	Scordia
росток,германия	Rostock
тенни,город,миннесота,соединённые штаты америки,сша,америка	Tenney,_Minnesota
сан-витторе-дель-лацио,италия	San_Vittore_del_Lazio
серавецца,италия	Seravezza
торунь,польша	Toruń
сенаки,грузия	Senaki
унтеркольштеттен,австрия	Unterkohlstätten
райс,город,миннесота,соединённые штаты америки,сша,америка	Rice,_Minnesota
тертения,италия	Tertenia
реда,город,польша	Reda,_Poland
сеттала,италия	Settala
розтоки,чехия	Roztoky
сан-джермано-верчеллезе,италия	San_Germano_Vercellese
сан-джинезио,италия	San_Ginesio
староконстантинов,украина	Starokostiantyniv
санта-клара,калифорния,соединённые штаты америки,сша,америка	Santa_Clara,_California
сан-фермо-делла-батталья,италия	San_Fermo_della_Battaglia
рангерсдорф,австрия	Rangersdorf
ромны	Romny
роккетта-сант-антонио,италия	Rocchetta_Sant'Antonio
сан-джорджо-ди-мантова,италия	San_Giorgio_di_Mantova
ричфилд,город,миннесота,соединённые штаты америки,сша,америка	Richfield,_Minnesota
супетар,хорватия	Supetar
сукабуми,индонезия	Sukabumi
сузы	Susa
сан-микеле-салентино,италия	San_Michele_Salentino
роккетта-лигуре,италия	Rocchetta_Ligure
тренчьянске теплице,словакия	Trenčianske_Teplice
ривизондоли,италия	Rivisondoli
уоткинс,город,миннесота,соединённые штаты америки,сша,америка	Watkins,_Minnesota
синчэн,китайская народная республика,китай,кнр	Xingcheng
сен-пьер,валле-д’аоста,италия	Saint-Pierre,_Aosta_Valley
сисамон,испания	Sisamón
роккараинола,италия	Roccarainola
точено,италия	Toceno
роллингстон,город,миннесота,соединённые штаты америки,сша,америка	Rollingstone,_Minnesota
триест,италия	Trieste
роккафорте-мондови,италия	Roccaforte_Mondovì
рамигала,литва	Ramygala
сан-дженнаро-везувиано,италия	San_Gennaro_Vesuviano
турри,италия	Turri
санта-кроче-ди-мальяно,италия	Santa_Croce_di_Magliano
уссана,италия	Ussana
сан-пьетро-ин-гуарано,италия	San_Pietro_in_Guarano
салацгрива,латвия	Salacgrīva
санта-кларита,соединённые штаты америки,сша,америка	Santa_Clarita,_California
торре-де-негри,италия	Torre_de'_Negri
сеуи,италия	Seui
трансграничная агломерация	Transborder_agglomeration
торрита-тиберина,италия	Torrita_Tiberina
тхакхэк,лаос	Thakhek
треказе,италия	Trecase
ригал,город,миннесота,соединённые штаты америки,сша,америка	Regal,_Minnesota
сефашехр,иран	Safashahr
сестино,италия	Sestino
танакпур,индия	Tanakpur
савиньо,италия	Savigno
сан-грегорио-нелле-альпи,италия	San_Gregorio_nelle_Alpi
соранья,италия	Soragna
сан-бьяджо-ди-каллальта,италия	San_Biagio_di_Callalta
сорбо-сан-базиле,италия	Sorbo_San_Basile
соргоно,италия	Sorgono
редвуд-фолс,город,миннесота,соединённые штаты америки,сша,америка	Redwood_Falls,_Minnesota
сюаньчэн,китайская народная республика,китай,кнр	Xuancheng
ронко-скривия,италия	Ronco_Scrivia
савоя-ди-лукания,италия	Savoia_di_Lucania
турда,румыния	Turda
стерлинг,шотландия,шотландия	Stirling
уорд,арканзас,соединённые штаты америки,сша,америка	Ward,_Arkansas
усагре,испания	Usagre
толентино,италия	Tolentino
соннино,италия	Sonnino
уязд,польша	Ujazd
уэйкфилд,город	City_of_Wakefield
торелла-деи-ломбарди,италия	Torella_dei_Lombardi
скивенолья,италия	Schivenoglia
славгород,россия,россия,алтайский край	Slavgorod
саузе-ди-чезана,италия	Sauze_di_Cesana
сьерра-де-луна,испания	Sierra_de_Luna
реджо-нель-эмилия,италия	Reggio_Emilia
райзон,арканзас,соединённые штаты америки,сша,америка	Rison,_Arkansas
сабанета,венесуэла	Sabaneta,_Barinas
сивота,греция	Syvota
туин-валли,город,миннесота,соединённые штаты америки,сша,америка	Twin_Valley,_Minnesota
сан-себастиано-куроне,италия	San_Sebastiano_Curone
сант-эджидио-дель-монте-альбино,италия	Sant'Egidio_del_Monte_Albino
толло,италия	Tollo
саммит,арканзас,соединённые штаты америки,сша,америка	Summit,_Arkansas
серрамаццони,италия	Serramazzoni
солт-лейк-сити,соединённые штаты америки,сша,америка	Salt_Lake_City
сьюдад-гуаяна	Ciudad_Guayana
ребольедо-де-ла-торре,испания	Rebolledo_de_la_Torre
тунцзян,цзямусы,китайская народная республика,китай,кнр	Tongjiang,_Heilongjiang
таверна,коммуна,италия	Taverna,_Calabria
ремих,коммуна,люксембург	Remich
саддар,пакистан	Saddar_Town
ровелло-порро,италия	Rovello_Porro
сельве-марконе,италия	Selve_Marcone
томигусуку,япония	Tomigusuku,_Okinawa
сан-дзеноне-аль-ламбро,италия	San_Zenone_al_Lambro
риу-тинту,гондомар,португалия	Rio_Tinto_(Gondomar)
тысменица,город,украина	Tysmenytsia
рубена,испания	Rubena
торре-бормида,италия	Torre_Bormida
сантистебан-дель-пуэрто,испания	Santisteban_del_Puerto
сала-баганца,италия	Sala_Baganza
трасмос,испания	Trasmoz
сезимово-усти,чехия	Sezimovo_Ústí
урасоэ,япония	Urasoe,_Okinawa
сайрус,город,миннесота,соединённые штаты америки,сша,америка	Cyrus,_Minnesota
тихорецк,россия,краснодарский край	Tikhoretsk
рокка-чилье,италия	Rocca_Cigliè
удайпур,индия	Udaipur
торре-де-руджеро,италия	Torre_di_Ruggiero
урзичени,румыния	Urziceni
слобомир,босния и герцеговина	Slobomir
серравалле-пистойезе,италия	Serravalle_Pistoiese
стриано,италия	Striano
рацибуж,польша	Racibórz
унеча,россия,брянская область	Unecha
